row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Giá trị ghi sô > Nguyên giá,Giá trị ghi sô > Dư phònggiảm giá trị,Giá trị ghi sô > Giá trị thuần,"Đơn vị, thực VND > Giá trị hợp lý",numeric__Giá trị ghi sô > Nguyên giá,numeric__Giá trị ghi sô > Dư phònggiảm giá trị,numeric__Giá trị ghi sô > Giá trị thuần,"numeric__Đơn vị, thực VND > Giá trị hợp lý"
TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đào hạn,TẢI SẢN TẢI CHÍNH > Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,105.596.976,(1.117.352),104.479.624,117.137.536,105596976.0,-1117352.0,104479624.0,117137536.0
- Hop đồng tiền gửi có ký hạn,TẢI SẢN TẢI CHÍNH > - Hop đồng tiền gửi có ký hạn,- Hop đồng tiền gửi có ký hạn,71.221.738,(442.600),70.779.138,71.290.767,71221738.0,-442600.0,70779138.0,71290767.0
- Trái phiếu,TẢI SẢN TẢI CHÍNH > - Trái phiếu,- Trái phiếu,34.375.238,(674.752),33.700.486,45.846.769,34375238.0,-674752.0,33700486.0,45846769.0
Chứng khoán kinh doanh,TẢI SẢN TẢI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.831.287,(262.206),2.569.081,3.065.724,2831287.0,-262206.0,2569081.0,3065724.0
- Cổ phiếu niêm yết,TẢI SẢN TẢI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.740.427,(208.843),1.531.584,1.898.412,1740427.0,-208843.0,1531584.0,1898412.0
- Cổ phiếu chưa niêm yết,TẢI SẢN TẢI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,594.221,(52.922),541.299,566.537,594221.0,-52922.0,541299.0,566537.0
- Chứng chỉ quỹ,TẢI SẢN TẢI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,246.238,(441),245.796,342.074,246238.0,-441.0,245796.0,342074.0
- Trải phiếu,TẢI SẢN TẢI CHÍNH > - Trải phiếu,- Trải phiếu,250.402,-,250.402,258.701,250402.0,,250402.0,258701.0
Đầu tư tài chính khác,TẢI SẢN TẢI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,809.596,(211.419),598.177,992.849,809596.0,-211419.0,598177.0,992849.0
Cho vay và tạm ứng cho khách hàng,TẢI SẢN TẢI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,3.488.848,(74.703),3.414.145,3.414.145,3488848.0,-74703.0,3414145.0,3414145.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN TẢI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.835.808,(244.701),1.591.107,1.603.811,1835808.0,-244701.0,1591107.0,1603811.0
Phải thu tài bảo hiểm,TẢI SẢN TẢI CHÍNH > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,909.630,-,909.630,908.518,909630.0,,909630.0,908518.0
Tải sản tài bảo hiểm,TẢI SẢN TẢI CHÍNH > Tải sản tài bảo hiểm,Tải sản tài bảo hiểm,3.041.375,-,3.041.375,3.041.375,3041375.0,,3041375.0,3041375.0
Phải thu khác,TẢI SẢN TẢI CHÍNH > Phải thu khác,Phải thu khác,396.333,(77.436),318.897,318.897,396333.0,-77436.0,318897.0,318897.0
"- Các khoản cẩm cố, ký quỹ, ký cược","TẢI SẢN TẢI CHÍNH > - Các khoản cẩm cố, ký quỹ, ký cược","- Các khoản cẩm cố, ký quỹ, ký cược",64.044,-,64.044,64.044,64044.0,,64044.0,64044.0
- Phải thu cố tức,TẢI SẢN TẢI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,3.968,-,3.968,3.968,3968.0,,3968.0,3968.0
- Khác,TẢI SẢN TẢI CHÍNH > - Khác,- Khác,328.320,(77.436),250.864,250.884,328320.0,-77436.0,250864.0,250884.0
Tiền và các khoản tương đương tiền,TẢI SẢN TẢI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.742.602,-,4.742.602,4.742.602,4742602.0,,4742602.0,4742602.0
TỔNG CỘNG,TẢI SẢN TẢI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,123.652.455,(1.987.817),121.664.638,135.223.457,123652455.0,-1987817.0,121664638.0,135223457.0
