row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,1. Lợi nhuận trước thuế,,1.953.285.808.059,1.511.728.184.609,,,1953285808059.0,1511728184609.0
01,01,01,2. Điều chỉnh cho các khoản,,9.683.183.505.884,8.879.630.993.134,,,9683183505884.0,8879630993134.0
02,02,02,- Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình,"10, 11",206.997.738.211,181.146.935.314,,,206997738211.0,181146935314.0
03,03,03,- Các khoản dự phòng,,18.324.904.209.345,15.681.395.633.664,,,18324904209345.0,15681395633664.0
04,04,04,- (Lãi)/Lỗ chênh lệch tỉ giả hồi đoai do đánh giá lại các khoản mục tiên tế có góc ngoại tệ,,(3.832.163.036),3.870.364.981,,,-3832163036.0,3870364981.0
05,05,05,- Lãi từ hoạt động đầu tư,,(9.547.259.680.419),(7.969.281.795.376),,,-9547259680419.0,-7969281795376.0
06,06,06,"- Chi phí repo, lãi vay",,702.373.401.785,982.499.854.551,,,702373401785.0,982499854551.0
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,11.636.469.313.943,10.391.359.177.743,,,11636469313943.0,10391359177743.0
09,09,09,- Tăng các khoản phải thu,,(13.288.642.669),(109.801.140.574),,,-13288642669.0,-109801140574.0
10,10,10,- Giảm hàng tồn kho,,1.924.398.500,22.568.392.866,,,1924398500.0,22568392866.0
11,11,11,"- Tăng/(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,105.126.771.747,(105.674.992.179),,,105126771747.0,-105674992179.0
12,12,12,- Giảm/(Tăng) chi phí trả trước,,748.213.752.516,(6.254.733.517),,,748213752516.0,-6254733517.0
13,13,13,- Giảm chứng khoản kinh doanh,,381.642.210.752,372.954.492.411,,,381642210752.0,372954492411.0
14,14,14,- Tiền lãi vay đã trả,,(757.788.609.663),(959.276.338.523),,,-757788609663.0,-959276338523.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,16,(237.775.940.333),(270.336.852.298),,16.0,-237775940333.0,-270336852298.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(68.382.974.829),(67.845.500.995),,,-68382974829.0,-67845500995.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,11.796.140.279.964,9.267.592.504.934,,,11796140279964.0,9267592504934.0
,,,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"1. Tiền chỉ để mua sám, xây dựng TSCĐ và các tài sản dài hạn khác",,(231.433.491.623),(223.164.104.120),,,-231433491623.0,-223164104120.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1.026.440.364,919.029.273,,,1026440364.0,919029273.0
23,23,23,"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(87.906.743.938.242),(68.231.385.894.147),,,-87906743938242.0,-68231385894147.0
24,24,24,"4. Tiền thu hồi cho vay, bản lai các công cụ nợ của đơn vị khác",,71.688.969.281.693,56.170.009.639.929,,,71688969281693.0,56170009639929.0
26,26,26,5. Tiền chỉ hồi đầu tư góp vốn vào đơn vị khác,,(29.535.895.500),(196.000.000.000),,,-29535895500.0,-196000000000.0
27,27,27,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,158.324.419.933,,,,158324419933.0
28,28,28,"7. Tiền thu lãi cho vay, cổ tức, lợi nhuận được chia và lãi bản các khoản đầu tư nằm giữ đến ngày đào hạn",,8.717.737.729.146,7.198.647.190.833,,,8717737729146.0,7198647190833.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(7.759.979.874.162),(5.122.649.718.299),,,-7759979874162.0,-5122649718299.0
