row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Quả hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trần 05 năm,Tổng công,numeric__Quả hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trần 05 năm,numeric__Tổng công
TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,TẢI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,6.780.742,-,-,6.780.742,,,6780742.0,,,6780742.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,57.193,-,732.123,-,-,769.316,57193.0,,732123.0,,,769316.0
Phải thu tài bảo hiểm,TẢI SẢN TÀI CHÍNH > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,-,-,704.066,-,-,704.066,,,704066.0,,,704066.0
Tài sản tài bảo hiểm,TẢI SẢN TÀI CHÍNH > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,-,-,2.246.696,-,-,2.246.696,,,2246696.0,,,2246696.0
Các khoản phải thu khác,TẢI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,77.855,-,-,77.855,,,77855.0,,,77855.0
"- Các khoản cảm có, ký quý, ký cược","TẢI SẢN TÀI CHÍNH > - Các khoản cảm có, ký quý, ký cược","- Các khoản cảm có, ký quý, ký cược",-,-,71.586,-,-,71.586,,,71586.0,,,71586.0
- Phải thu cổ tức,TẢI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,-,-,6.269,-,-,6.269,,,6269.0,,,6269.0
Đầu tư tài chính,TẢI SẢN TÀI CHÍNH > Đầu tư tài chính,Đầu tư tài chính,-,2.681.635,76.817.790,27.691.448,57.506.110,164.696.983,,2681635.0,76817790.0,27691448.0,57506110.0,164696983.0
Đầu tư nằm giữ đến ngày đào hạn,TẢI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,-,-,76.444.345,27.691.448,57.506.110,161.641.903,,,76444345.0,27691448.0,57506110.0,161641903.0
- Hợp đồng tiến gửi có ký hạn,TẢI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có ký hạn,- Hợp đồng tiến gửi có ký hạn,-,-,72.911.395,15.191.301,-,88.102.696,,,72911395.0,15191301.0,,88102696.0
- Trái phiếu,TẢI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,3.532.950,12.500.147,57.506.110,73.539.207,,,3532950.0,12500147.0,57506110.0,73539207.0
Chung khoản kinh doanh,TẢI SẢN TÀI CHÍNH > Chung khoản kinh doanh,Chung khoản kinh doanh,-,1.927.850,373.445,-,-,2.301.295,,1927850.0,373445.0,,,2301295.0
- Có phiếu niêm yết,TẢI SẢN TÀI CHÍNH > - Có phiếu niêm yết,- Có phiếu niêm yết,-,1.453.086,-,-,-,1.453.086,,1453086.0,,,,1453086.0
- Có phiếu chưa niêm yết,TẢI SẢN TÀI CHÍNH > - Có phiếu chưa niêm yết,- Có phiếu chưa niêm yết,-,198.892,-,-,-,198.892,,198892.0,,,,198892.0
- Chứng chỉ quỹ,TẢI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,275.872,-,-,-,275.872,,275872.0,,,,275872.0
- Trái phiếu,TẢI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,373.445,-,-,373.445,,,373445.0,,,373445.0
Đầu tư tài chính khác,TẢI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,753.785,-,-,-,753.785,,753785.0,,,,753785.0
Cho vay và tạm ứng khách hàng,TẢI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,2.088,-,4.608.567,-,-,4.610.655,2088.0,,4608567.0,,,4610655.0
Các tài sản khác,TẢI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,6.189,-,173.831,-,-,180.020,6189.0,,173831.0,,,180020.0
TỔNG CỘNG,TẢI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,65.470,2.681.635,92.141.670,27.691.448,57.506.110,180.086.333,65470.0,2681635.0,92141670.0,27691448.0,57506110.0,180086333.0
