row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020VND,Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2020VND,numeric__Ngày 31 tháng 12năm 2019VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm góc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm góc,Phải thu hoạt động bảo hiểm góc,633.787.937.543,737.595.665.035,633787937543.0,737595665035.0
Phải thu hoạt động nhận tài bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tài bảo hiểm,Phải thu hoạt động nhận tài bảo hiểm,65.638.146.690,69.978.151.538,65638146690.0,69978151538.0
Phải thu hoạt động nhượng tài bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tài bảo hiểm,Phải thu hoạt động nhượng tài bảo hiểm,638.427.889.268,839.651.801.686,638427889268.0,839651801686.0
Phải thu khác nhượng tài bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác nhượng tài bảo hiểm,Phải thu khác nhượng tài bảo hiểm,271.136.799.519,863.121.225.969,271136799519.0,863121225969.0
Phải thu liên quan đến động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến động bảo hiểm,Phải thu liên quan đến động bảo hiểm,141.004.900.147,222.564.378.366,141004900147.0,222564378366.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,4.868.675.465,12.526.906.786,4868675465.0,12526906786.0
,,,1.754.864.348.632,2.745.438.129.380,1754864348632.0,2745438129380.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,6.269.389.950,3.967.889.500,6269389950.0,3967889500.0
Phải thu lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,2.955.624.573.146,2.283.302.096.980,2955624573146.0,2283302096980.0
Phải thu lãi trái phiếu,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi trái phiếu,Phải thu lãi trái phiếu,1.231.124.604.145,1.315.107.395.898,1231124604145.0,1315107395898.0
Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu về hoạt động đầu tư tài chính > Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,197.428.548.101,200.678.299.618,197428548101.0,200678299618.0
Phải thu đầu tư khác,Phải thu về hoạt động đầu tư tài chính > Phải thu đầu tư khác,Phải thu đầu tư khác,1.774.685.136,29.240.339.354,1774685136.0,29240339354.0
,,,4.392.221.800.478,3.832.296.021.350,4392221800478.0,3832296021350.0
Trả trước cho người bán ngắn hạn,Phải thu về hoạt động đầu tư tài chính > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,63.469.950.921,51.656.014.873,63469950921.0,51656014873.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,
