row_label_raw,row_label_full,col_0,"Nhà cùs,vật kiến trúcVND",Mày mốcthiết bịVND,"Phương tiếnván tài, thiết bịtruyền đảnVND","Công cụ, dụng cụquản lýVND",Tài sảncố định khácVND,Tổng côngVND,"numeric__Nhà cùs,vật kiến trúcVND",numeric__Mày mốcthiết bịVND,"numeric__Phương tiếnván tài, thiết bịtruyền đảnVND","numeric__Công cụ, dụng cụquản lýVND",numeric__Tài sảncố định khácVND,numeric__Tổng côngVND
Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,,,,,,
Vào ngày 31/12/2019,Nguyễn giá: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,1.148.774.052.985,252.184.152.667,523.687.715.507,326.936.915.561,3.852.218.825,2.255.435.055.545,1148774052985.0,252184152667.0,523687715507.0,326936915561.0,3852218825.0,2255435055545.0
- Mua sâm,Nguyễn giá: > - Mua sâm,- Mua sâm,634.007.450,2.931.166.000,28.888.930.837,23.353.768.354,-,55.807.872.641,634007450.0,2931166000.0,28888930837.0,23353768354.0,,55807872641.0
- Đầu tư xây dựng cơbản hoan thành,Nguyễn giá: > - Đầu tư xây dựng cơbản hoan thành,- Đầu tư xây dựng cơbản hoan thành,26.267.374.670,-,171.818.182,129.690.000,-,26.568.882.852,26267374670.0,,171818182.0,129690000.0,,26568882852.0
- Tăng khác,Nguyễn giá: > - Tăng khác,- Tăng khác,-,2.546.248.767,2.597.572.448,961.920.549,-,6.105.741.764,,2546248767.0,2597572448.0,961920549.0,,6105741764.0
"- Thanh lý, nhượng bán","Nguyễn giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(101.300.000),(7.129.099.438),(4.331.203.381),-,(11.561.602.819),,-101300000.0,-7129099438.0,-4331203381.0,,-11561602819.0
- Giảm khác,Nguyễn giá: > - Giảm khác,- Giảm khác,(15.395.747.392),-,-,-,-,(15.395.747.392),-15395747392.0,,,,,-15395747392.0
Vào ngày 31/12/2020,Nguyễn giá: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,1.160.279.687.713,257.560.267.434,548.216.937.536,347.051.091.083,3.852.218.825,2.316.960.202.591,1160279687713.0,257560267434.0,548216937536.0,347051091083.0,3852218825.0,2316960202591.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Vào ngày 31/12/2019,Giá trị khấu hao lũy kế: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,536.112.330.437,140.672.265.292,405.521.615.319,250.092.983.280,2.724.267.602,1.335.123.461.930,536112330437.0,140672265292.0,405521615319.0,250092983280.0,2724267602.0,1335123461930.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,43.913.544.499,27.498.331.202,37.758.924.841,28.573.406.102,649.930.407,138.394.137.051,43913544499.0,27498331202.0,37758924841.0,28573406102.0,649930407.0,138394137051.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(100.309.524),(6.806.764.822),(4.318.666.350),-,(11.225.740.696),,-100309524.0,-6806764822.0,-4318666350.0,,-11225740696.0
- (Giảm)/Tăng khác,Giá trị khấu hao lũy kế: > - (Giảm)/Tăng khác,- (Giảm)/Tăng khác,(5.736.197.548),279.031.983,358.653.489,119.051.629,-,(4.979.460.547),-5736197548.0,279031983.0,358653489.0,119051629.0,,-4979460547.0
Vào ngày 31/12/2020,Giá trị khấu hao lũy kế: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,574.289.677.268,169.349.318.953,436.832.428.827,274.466.774.661,3.374.198.009,1.457.312.397.738,574289677268.0,169349318953.0,436832428827.0,274466774661.0,3374198009.0,1457312397738.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Vào ngày 31/12/2019,Giá trị còn lại: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,612.661.722.548,111.511.887.375,118.166.100.188,76.843.932.281,1.127.951.223,920.311.593.615,612661722548.0,111511887375.0,118166100188.0,76843932281.0,1127951223.0,920311593615.0
Vào ngày 31/12/2020,Giá trị còn lại: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,585.990.010.425,89.210.948.481,111.384.508.709,72.584.316.422,478.020.816,859.847.804.853,585990010425.0,89210948481.0,111384508709.0,72584316422.0,478020816.0,859847804853.0
