row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Chưa quả hạn và không giám giá trị,Quả hạn nhưng không giám giá trị riêng lẻ,Bị giám giá trị riêng lẻ (*),Tổng,numeric__Chưa quả hạn và không giám giá trị,numeric__Quả hạn nhưng không giám giá trị riêng lẻ,numeric__Bị giám giá trị riêng lẻ (*),numeric__Tổng
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.780.742,-,-,6.780.742,6780742.0,,,6780742.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,732.123,41.409,15.784,789.316,732123.0,41409.0,15784.0,789316.0
Phải thu tài bảo hiểm,TẢI SẢN > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,704.066,-,-,704.066,704066.0,,,704066.0
Tải sản tài bảo hiểm,TẢI SẢN > Tải sản tài bảo hiểm,Tải sản tài bảo hiểm,2.246.696,-,-,2.246.696,2246696.0,,,2246696.0
Các khoản phải thu khác,TẢI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,77.855,-,-,77.855,77855.0,,,77855.0
"- Các khoản cẩm cố, ký quỹ, ký cước","TẢI SẢN > - Các khoản cẩm cố, ký quỹ, ký cước","- Các khoản cẩm cố, ký quỹ, ký cước",71.586,-,-,71.586,71586.0,,,71586.0
- Phải thu cố tức,TẢI SẢN > - Phải thu cố tức,- Phải thu cố tức,6.269,-,-,6.269,6269.0,,,6269.0
Đầu tư nằm giữ đến ngày đào hạn,TẢI SẢN > Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,121.507.403,-,-,121.507.403,121507403.0,,,121507403.0
- Hợp đồng biến gửi có ký hạn,TẢI SẢN > - Hợp đồng biến gửi có ký hạn,- Hợp đồng biến gửi có ký hạn,85.165.335,-,-,85.165.335,85165335.0,,,85165335.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,36.342.068,-,-,36.342.068,36342068.0,,,36342068.0
Chủng khoản kinh doanh,TẢI SẢN > Chủng khoản kinh doanh,Chủng khoản kinh doanh,365.575,-,-,365.575,365575.0,,,365575.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,365.575,-,-,365.575,365575.0,,,365575.0
Các khoản cho vay và tạm ứng cho khách hàng,TẢI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,4.608.567,802,1.286,4.610.655,4608567.0,802.0,1286.0,4610655.0
Các tài sản khác,TẢI SẢN > Các tài sản khác,Các tài sản khác,173.831,3.053,3.136,180.020,173831.0,3053.0,3136.0,180020.0
TỔNG CỘNG,TẢI SẢN > TỔNG CỘNG,TỔNG CỘNG,137.196.858,45.264,20.206,137.262.328,137196858.0,45264.0,20206.0,137262328.0
