row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,7.905.465.382.063,8.293.354.253.804,7905465382063.0,8293354253804.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,18.709.816.640.956,15.745.858.271.912,18709816640956.0,15745858271912.0
Các sản phẩm bảo hiểm nhân thọ khác,Bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,1.422.365.215.821,1.412.343.191.696,1422365215821.0,1412343191696.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,28.037.647.238.840,25.451.555.717.412,28037647238840.0,25451555717412.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,1.046.875.784.644,889.863.307.007,1046875784644.0,889863307007.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,4.251.635.290.776,5.081.982.341.941,4251635290776.0,5081982341941.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,4.390.842.096.726,4.324.771.244.692,4390842096726.0,4324771244692.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,9.689.353.172.146,10.296.616.893.640,9689353172146.0,10296616893640.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,37.727.000.410.986,35.748.172.611.052,37727000410986.0,35748172611052.0
