row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Đơn vị: triệu đồng Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Đơn vị: triệu đồng Các bút toán điều chỉnh hợp nhất,numeric__Tổng
TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,384.396,142.711,493.393,24.017,5.736.225,6.780.742,384396.0,142711.0,493393.0,24017.0,5736225.0,6780742.0
Các khoản phải thu từ hoạt động tải báo hiểm,TẢI SẢN > Các khoản phải thu từ hoạt động tải báo hiểm,Các khoản phải thu từ hoạt động tải báo hiểm,2.608,701.458,-,-,-,704.066,2608.0,701458.0,,,,704066.0
Các khoản phải thu từ hoạt động bảo hiểm,TẢI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,119.416,931.662,-,-,(280),1.050.798,119416.0,931662.0,,,-280.0,1050798.0
Tải sản tại bảo hiểm,TẢI SẢN > Tải sản tại bảo hiểm,Tải sản tại bảo hiểm,-,2.246.696,-,-,-,2.246.696,,2246696.0,,,,2246696.0
Các khoản phải thu khác,TẢI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,3.935.086,241.394,927.835,79.185,(806.873),4.376.627,3935086.0,241394.0,927835.0,79185.0,-806873.0,4376627.0
Đầu tư tài chính,TẢI SẢN > Đầu tư tài chính,Đầu tư tài chính,115.015.974,7.191.133,18.764.545,106.138,(15.485.401),125.592.389,115015974.0,7191133.0,18764545.0,106138.0,-15485401.0,125592389.0
Phải thu về cho vay,TẢI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,-,2.216.794,-,20.687,2.237.481,,,2216794.0,,20687.0,2237481.0
Tải sản có định hữu hình,TẢI SẢN > Tải sản có định hữu hình,Tải sản có định hữu hình,234.768,205.394,361.651,32.469,25.366,859.648,234768.0,205394.0,361651.0,32469.0,25366.0,859648.0
Tải sản có định vô hình,TẢI SẢN > Tải sản có định vô hình,Tải sản có định vô hình,251.973,375.976,286.419,14.639,-,929.007,251973.0,375976.0,286419.0,14639.0,,929007.0
Các tài sản khác,TẢI SẢN > Các tài sản khác,Các tài sản khác,229.261,941.655,401.746,100.080,(37.395),1.635.347,229261.0,941655.0,401746.0,100080.0,-37395.0,1635347.0
TỔNG TẢI SẢN,TẢI SẢN > TỔNG TẢI SẢN,TỔNG TẢI SẢN,120.173.482,12.978.079,23.452.383,356.528,(10.547.671),146.412.801,120173482.0,12978079.0,23452383.0,356528.0,-10547671.0,146412801.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Nợ ngân hạn,NỘ PHẢI TRẢ > Nợ ngân hạn,Nợ ngân hạn,15.753.058,2.496.715,1.626.742,47.931,(177.008),19.747.438,15753058.0,2496715.0,1626742.0,47931.0,-177008.0,19747438.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,98.176.442,7.329.914,331.800,24.304,(18.863),105.843.597,98176442.0,7329914.0,331800.0,24304.0,-18863.0,105843597.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,113.929.500,9.826.629,1.958.542,72.235,(195.871),125.591.035,113929500.0,9826629.0,1958542.0,72235.0,-195871.0,125591035.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,6.243.982,3.151.450,21.493.841,284.293,(10.351.800),20.821.766,6243982.0,3151450.0,21493841.0,284293.0,-10351800.0,20821766.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,120.173.482,12.978.079,23.452.383,356.528,(10.547.671),146.412.801,120173482.0,12978079.0,23452383.0,356528.0,-10547671.0,146412801.0
