row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2019,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2020,numeric__Ngày 31 tháng 12 năm 2019
400,400,400,D. VỐN CHỦ SỞ HỮU,,20.821.766.040.844,19.902.608.518.614,,,20821766040844.0,19902608518614.0
410,410,410,I. Vốn chủ sở hữu,25,20.821.766.040.844,19.902.608.518.614,,25.0,20821766040844.0,19902608518614.0
411,411,411,1. Vốn góp của chủ sở hữu,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
411a,411a,411a,- Cổ phiếu phố thống có quyền biểu quyết,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
412,412,412,2. Thặng dư vốn cổ phần,,7.310.458.742.807,7.310.458.742.807,,,7310458742807.0,7310458742807.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,,15.445.192.000,15.445.192.000,,,15445192000.0,15445192000.0
418,418,418,4. Quỹ đầu tư phát triển và dự phòng tài chính,,967.358.385.620,801.321.408.999,,,967358385620.0,801321408999.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,103.568.802.818,103.568.802.818,,,103568802818.0,103568802818.0
421,421,421,6. Lợi nhuận sau thuế đã thực hiện chưa phân phối,,3.723.310.113.726,3.037.187.232.453,,,3723310113726.0,3037187232453.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lây kế đến cuối năm trước,,2.186.864.003.123,1.912.595.219.719,,,2186864003123.0,1912595219719.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.536.446.110.603,1.124.592.012.734,,,1536446110603.0,1124592012734.0
423,423,423,7. Quỹ dự trữ bất buộc hoạt động bảo hiểm,,523.523.906.834,476.227.833.633,,,523523906834.0,476227833633.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,,754.873.257.039,735.171.665.904,,,754873257039.0,735171665904.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,146.412.800.818.360,128.238.238.184.487,,,146412800818360.0,128238238184487.0
