row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020VND,Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2020VND,numeric__Ngày 31 tháng 12năm 2019VND
Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,930.520.293.775,662.829.560.015,930520293775.0,662829560015.0
Phải trả bồi thường và trả tiền bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả bồi thường và trả tiền bảo hiểm,Phải trả bồi thường và trả tiền bảo hiểm,117.710.801.390,92.507.297.518,117710801390.0,92507297518.0
Phải trả thu nhập đai lý,Phải trả hoạt động bảo hiểm > Phải trả thu nhập đai lý,Phải trả thu nhập đai lý,807.201.230.097,556.899.566.147,807201230097.0,556899566147.0
Lải phải trả cho chủ hợp đồng,Phải trả hoạt động bảo hiểm > Lải phải trả cho chủ hợp đồng,Lải phải trả cho chủ hợp đồng,5.608.262.288,13.422.696.350,5608262288.0,13422696350.0
Bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,1.721.324.654.521,2.585.223.560.703,1721324654521.0,2585223560703.0
Phải trả hoa hồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả hoa hồng bảo hiểm,Phải trả hoa hồng bảo hiểm,148.734.773.104,111.766.498.311,148734773104.0,111766498311.0
Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm gốc phi nhân thọ,167.185.228.324,428.595.156.790,167185228324.0,428595156790.0
Phải trả nhận tải bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhận tải bảo hiểm phi nhân thọ,Phải trả nhận tải bảo hiểm phi nhân thọ,66.043.470.030,77.652.674.356,66043470030.0,77652674356.0
Phải trả nhượng tải bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhượng tải bảo hiểm phi nhân thọ,Phải trả nhượng tải bảo hiểm phi nhân thọ,1.272.249.697.974,1.857.257.308.698,1272249697974.0,1857257308698.0
Phải trả đồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả đồng bảo hiểm,Phải trả đồng bảo hiểm,67.111.485.089,109.951.922.548,67111485089.0,109951922548.0
,,,2.651.844.948.296,3.248.053.120.718,2651844948296.0,3248053120718.0
Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,,
Phải trả mua chứng khoán,Phải trả hoạt động tài chính > Phải trả mua chứng khoán,Phải trả mua chứng khoán,4.024.930.000,7.862.957.608,4024930000.0,7862957608.0
,,,4.024.930.000,7.862.957.608,4024930000.0,7862957608.0
Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,,
"Phải trả người bán, nhà cung cấp","Phải trả người bán và nhà cung cấp dịch vụ > Phải trả người bán, nhà cung cấp","Phải trả người bán, nhà cung cấp",54.206.035.291,37.563.151.464,54206035291.0,37563151464.0
Phải trả khác,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả khác,Phải trả khác,599.494.819,552.249.553,599494819.0,552249553.0
,,,54.805.530.110,38.115.401.017,54805530110.0,38115401017.0
,,,2.710.675.408.406,3.294.031.479.343,2710675408406.0,3294031479343.0
