row_label_raw,row_label_full,col_0,Thay đổi biến (%),Thay đổi trách nhiệm bảo hiểm,Đơn vị: triệu VND,numeric__Thay đổi biến (%),numeric__Thay đổi trách nhiệm bảo hiểm,numeric__Đơn vị: triệu VND
,,,Thay đổi biến (%),Thay đổi trách nhiệm bảo hiểm,Ảnh hưởng đến nguồn vốn chủ sở hữu,,,
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,,
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2020 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"+0,25",(1.110.687),888.550,0.25,-1110687.0,888550.0
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2020 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"-0,25",1.230.826,(984.661),-0.25,1230826.0,-984661.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ từ vong,Tỷ lệ từ vong,+10,201.596,(161.277),10.0,201596.0,-161277.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ từ vong,Tỷ lệ từ vong,-10,(198.934),159.147,-10.0,-198934.0,159147.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ từ vong,Tỷ lệ từ vong,+20,409.519,(327.615),20.0,409519.0,-327615.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ từ vong,Tỷ lệ từ vong,-20,(393.475),314.780,-20.0,-393475.0,314780.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,,,
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2019 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"+0,25",(933.366),746.693,0.25,-933366.0,746693.0
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2019 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"-0,25",1.078.789,(863.031),-0.25,1078789.0,-863031.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2019 > Tỷ lệ từ vong,Tỷ lệ từ vong,+10,212.853,(170.282),10.0,212853.0,-170282.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2019 > Tỷ lệ từ vong,Tỷ lệ từ vong,-10,(173.814),139.051,-10.0,-173814.0,139051.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2019 > Tỷ lệ từ vong,Tỷ lệ từ vong,+20,464.880,(371.904),20.0,464880.0,-371904.0
Tỷ lệ từ vong,Ngày 31 tháng 12 năm 2019 > Tỷ lệ từ vong,Tỷ lệ từ vong,-20,(309.546),247.637,-20.0,-309546.0,247637.0
