row_label_raw,row_label_full,Cổ phiếu niêm yết
Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam
Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội
Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam
Tổng Công ty Vglacera,Tổng Công ty Vglacera,Tổng Công ty Vglacera
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết
Tổng Công ty Xây dung số 1,Tổng Công ty Xây dung số 1,Tổng Công ty Xây dung số 1
Công ty Cổ phần Đầu tư Phát triển diện Miền Bắc 2,Công ty Cổ phần Đầu tư Phát triển diện Miền Bắc 2,Công ty Cổ phần Đầu tư Phát triển diện Miền Bắc 2
Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí
Tổng Công ty MBLand,Tổng Công ty MBLand,Tổng Công ty MBLand
Công ty Cổ phần Thủy sản Ca Mau,Công ty Cổ phần Thủy sản Ca Mau,Công ty Cổ phần Thủy sản Ca Mau
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác
Trái phiếu,Trái phiếu,Trái phiếu
Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội
Ngân hàng Thương mại Cổ phần Bảo Việt,Ngân hàng Thương mại Cổ phần Bảo Việt,Ngân hàng Thương mại Cổ phần Bảo Việt
Công ty TNHH Thiết bị và Xây lập Huy Hoàng,Công ty TNHH Thiết bị và Xây lập Huy Hoàng,Công ty TNHH Thiết bị và Xây lập Huy Hoàng
Công ty Cổ phần Du lịch Lâm Bồng,Công ty Cổ phần Du lịch Lâm Bồng,Công ty Cổ phần Du lịch Lâm Bồng
Khác,Khác,Khác
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ
BVPF,BVPF,BVPF
BVBF,BVBF,BVBF
BVFED,BVFED,BVFED
E1VFVN30,E1VFVN30,E1VFVN30
Khác,Khác,Khác
