row_label_raw,row_label_full,Mã số,CHỈ TIẾU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__CHỈ TIẾU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019
32,32,32,Chi khác hoạt động bảo hiểm gốc\( (32 = 33 + 34 + 35) \),,(4.477.259.732.473),(4.737.830.752.600),,,-4477259732473.0,-4737830752600.0
33,33,33,Chi hoa hồng,,(3.094.850.217.854),(2.989.068.074.142),,,-3094850217854.0,-2989068074142.0
34,34,34,Chi khác hoạt động kinh doanh bảo hiểm,29,(1.382.409.514.619),(1.748.762.678.458),,29.0,-1382409514619.0,-1748762678458.0
41,41,41,Tổng chỉ trực tiếp hoạt động kinh doanh bảo hiểm \( (41 = 29 + 30 + 31 + 32) \),,(34.198.800.822.616),(32.375.572.251.339),,,-34198800822616.0,-32375572251339.0
42,42,42,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm \( (42 = 15 + 41) \),,325.243.461.928,933.563.835.841,,,325243461928.0,933563835841.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,433.287.152.651,336.730.885.525,,,433287152651.0,336730885525.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(417.934.268.486),(340.737.730.666),,,-417934268486.0,-340737730666.0
43,43,43,Lãi/(Lỗ) thuần từ các hoạt động khác\( (43 = 43.1 + 43.2) \),30,15.352.884.165,(4.006.845.141),,30.0,15352884165.0,-4006845141.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,9.495.658.687.333,7.870.747.650.846,,311.0,9495658687333.0,7870747650846.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,31.2,(1.841.912.602.607),(2.184.189.260.231),,312.0,-1841912602607.0,-2184189260231.0
44,44,44,Lợi nhuận hoạt động tài chính\( (44 = 44.1 + 44.2) \),,7.653.746.084.726,5.686.558.390.615,,,7653746084726.0,5686558390615.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đóng kiểm soát",14.3.1,70.011.972.612,107.754.257.916,,1431.0,70011972612.0,107754257916.0
46,46,46,Chi phí bán hàng,32,(2.366.157.942.795),(1.698.659.395.263),,32.0,-2366157942795.0,-1698659395263.0
47,47,47,Chi phí quản lý doanh nghiệp,33,(3.756.517.474.608),(3.517.026.355.581),,33.0,-3756517474608.0,-3517026355581.0
48.1,48.1,48.1,Thu nhập khác,,13.517.757.652,6.636.310.988,,,13517757652.0,6636310988.0
48.2,48.2,48.2,Chi phí khác,,(1.910.935.621),(3.092.014.766),,,-1910935621.0,-3092014766.0
48,48,48,Lợi nhuận khác \( (48 = 48.1 + 48.2) \),34,11.606.822.031,3.544.296.222,,34.0,11606822031.0,3544296222.0
50,50,50,TỔNG LỢI NHUẠN KÊ TOÁN TRƯỚC THUẾ\( (50 = 42 + 43 + 44 + 45 + 46 + 47 + 48) \),,1.953.285.808.059,1.511.728.184.609,,,1953285808059.0,1511728184609.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,16.1,(267.396.475.068),(269.693.437.322),,161.0,-267396475068.0,-269693437322.0
52,52,52,(Chi phí)/Thu nhập thuế thu nhập doanh nghiệp hoàn lại,16.2,(36.042.360.066),669.872.295,,162.0,-36042360066.0,669872295.0
