row_label_raw,row_label_full,Mãsố,TÀI SẢN,Thuyếtminh,Ngày 31 tháng 12năm 2020,Ngày 31 tháng 12năm 2019,numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2019
100,100,100,A. TÀI SẢN NGĂN HẠN,,91.841.581.344.776,79.755.413.497.351,,,91841581344776.0,79755413497351.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,6.780.742.363.756,4.742.602.123.821,,5.0,6780742363756.0,4742602123821.0
111,111,111,1. Tiền,,643.642.363.751,3.543.802.123.821,,,643642363751.0,3543802123821.0
112,112,112,2. Các khoản tương đương tiền,,6.137.100.000.005,1.198.800.000.000,,,6137100000005.0,1198800000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,73.718.143.604.394,63.081.067.015.771,,,73718143604394.0,63081067015771.0
121,121,121,1. Chủng khoán kinh doanh,14.1,2.449.645.175.350,2.831.287.386.102,,141.0,2449645175350.0,2831287386102.0
122,122,122,2. Dự phòng giảm gia chứng khoán kinh doanh,14.1,(156.221.229.549),(262.206.190.001),,141.0,-156221229549.0,-262206190001.0
123,123,123,3. Đầu tư nấm giữ đến ngày đào hạn,14.2,71.424.719.658.593,60.511.985.819.670,,142.0,71424719658593.0,60511985819670.0
130,130,130,III. Các khoản phải thu ngắn hạn,6.1,8.299.283.030.486,8.066.123.022.982,,61.0,8299283030486.0,8066123022982.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,6.147.086.149.110,6.577.734.150.730,,,6147086149110.0,6577734150730.0
131.1,131.1,131.1,1.1 Phải thu về hoạt động bảo hiểm,,1.754.864.348.632,2.745.438.129.380,,,1754864348632.0,2745438129380.0
131.2,131.2,131.2,1.2 Phải thu về hoạt động đầu tư tài chính,,4.392.221.800.478,3.832.296.021.350,,,4392221800478.0,3832296021350.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,63.469.950.921,51.656.014.873,,,63469950921.0,51656014873.0
135,135,135,3. Phải thu về cho vay ngắn hạn,,2.238.592.447.282,1.547.244.188.647,,,2238592447282.0,1547244188647.0
136,136,136,4. Phải thu ngắn hạn khác,,270.591.778.388,286.158.420.320,,,270591778388.0,286158420320.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(420.627.400.900),(396.839.857.273),,,-420627400900.0,-396839857273.0
139,139,139,6. Tài sản thiếu chờ xử lý,,170.105.685,170.105.685,,,170105685.0,170105685.0
140,140,140,IV. Hàng tồn kho,7,124.433.087.390,126.357.485.890,,7.0,124433087390.0,126357485890.0
150,150,150,V. Tài sản ngắn hạn khác,,672.283.091.006,697.888.873.774,,,672283091006.0,697888873774.0
151,151,151,1. Chi phí trả trước ngắn hạn,,634.419.485.710,649.777.273.875,,,634419485710.0,649777273875.0
151.1,151.1,151.1,1.1 Chi phí hoa hống chưa phân bổ,8,600.397.009.237,616.715.897.763,,8.0,600397009237.0,616715897763.0
151.2,151.2,151.2,1.2 Chi phí trả trước ngắn hạn khác,9,34.022.476.473,33.061.376.112,,9.0,34022476473.0,33061376112.0
152,152,152,2. Thuế GTGT được khấu trừ,,24.620.422.132,26.054.243.448,,,24620422132.0,26054243448.0
153,153,153,3. Thuế và các khoản phải thu Nhà nước,,3.512.662.035,5.535.648.167,,,3512662035.0,5535648167.0
155,155,155,4. Tài sản ngắn hạn khác,,9.730.521.129,16.521.708.284,,,9730521129.0,16521708284.0
190,190,190,VI. Tài sản tái bảo hiểm,,2.246.696.167.744,3.041.374.975.113,,,2246696167744.0,3041374975113.0
191,191,191,1. Dự phòng phí nhượng tài bảo hiểm,24,1.059.460.785.355,1.701.325.224.944,,24.0,1059460785355.0,1701325224944.0
192,192,192,2. Dự phòng bồi thường nhượng tài bảo hiểm,24,1.187.235.382.389,1.340.049.750.169,,24.0,1187235382389.0,1340049750169.0
