row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quả hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Tổng cộng,numeric__Quả hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN TẢI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,4.742.602,-,-,4.742.602,,,4742602.0,,,4742602.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN TẢI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,62.987,-,1.528.120,-,-,1.591.107,62987.0,,1528120.0,,,1591107.0
Phải thu tài bảo hiểm,TẢI SẢN TẢI CHÍNH > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,-,-,909.630,-,-,909.630,,,909630.0,,,909630.0
Tải sản tài bảo hiểm,TẢI SẢN TẢI CHÍNH > Tải sản tài bảo hiểm,Tải sản tài bảo hiểm,-,-,3.041.375,-,-,3.041.375,,,3041375.0,,,3041375.0
Các khoản phải thu khác,TẢI SẢN TẢI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,66.012,-,-,68.012,,,66012.0,,,68012.0
"- Các khoản cảm cố, ký quỹ, ký cược","TẢI SẢN TẢI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",-,-,64.044,-,-,64.044,,,64044.0,,,64044.0
- Phải thu cố tức,TẢI SẢN TẢI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,3.968,-,-,3.968,,,3968.0,,,3968.0
Đầu tư nằm giữ đến ngày đáo hạn,TẢI SẢN TẢI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,-,67.499.226,22.559.513,54.169.486,144.228.225,,,67499226.0,22559513.0,54169486.0,144228225.0
- Hợp đóng tiến gửi cố ký hạn,TẢI SẢN TẢI CHÍNH > - Hợp đóng tiến gửi cố ký hạn,- Hợp đóng tiến gửi cố ký hạn,-,-,63.169.049,10.885.258,150.500,74.204.807,,,63169049.0,10885258.0,150500.0,74204807.0
- Trải phiếu,TẢI SẢN TẢI CHÍNH > - Trải phiếu,- Trải phiếu,-,-,4.330.177,11.674.255,54.018.986,70.023.418,,,4330177.0,11674255.0,54018986.0,70023418.0
Chủng khoán kinh doanh,TẢI SẢN TẢI CHÍNH > Chủng khoán kinh doanh,Chủng khoán kinh doanh,-,2.318.679,268.454,-,-,2.587.133,,2318679.0,268454.0,,,2587133.0
- Cố phiếu niêm yết,TẢI SẢN TẢI CHÍNH > - Cố phiếu niêm yết,- Cố phiếu niêm yết,-,1.531.584,-,-,-,1.531.584,,1531584.0,,,,1531584.0
- Cố phiếu chưa niêm yết,TẢI SẢN TẢI CHÍNH > - Cố phiếu chưa niêm yết,- Cố phiếu chưa niêm yết,-,541.299,-,-,-,541.299,,541299.0,,,,541299.0
- Chủng chỉ quỹ,TẢI SẢN TẢI CHÍNH > - Chủng chỉ quỹ,- Chủng chỉ quỹ,-,245.795,-,-,-,245.796,,245795.0,,,,245796.0
- Trải phiếu,TẢI SẢN TẢI CHÍNH > - Trải phiếu,- Trải phiếu,-,-,268.454,-,-,268.454,,,268454.0,,,268454.0
Đầu tư tài chính khác,TẢI SẢN TẢI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,598.177,-,-,-,598.177,,598177.0,,,,598177.0
Cho vay và tạm ứng khách hàng,TẢI SẢN TẢI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,3.472,-,3.482.161,-,-,3.485.633,3472.0,,3482161.0,,,3485633.0
Các tài sản khác,TẢI SẢN TẢI CHÍNH > Các tài sản khác,Các tài sản khác,6.942,-,243.942,-,-,250.884,6942.0,,243942.0,,,250884.0
TỔNG CỘNG,TẢI SẢN TẢI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,73.401,2.916.856,81.783.522,22.559.513,54.169.486,161.502.778,73401.0,2916856.0,81783522.0,22559513.0,54169486.0,161502778.0
