row_label_raw,row_label_full,col_0,Vốn góp cửa chú sở râu VND,Thếng dư vắc cổ phần VND,Chếnh lệch tỷ giá Bali đổi VND,Quỹ đầu tư phát triển và dư pháng tài chính VND,Quỹ khác huế c vốn chủ sở râu VND,Lợi nhuận sau thuế chưa phân phối VND,Quỹ dư tơ bất buộc hoạt động basis hiểm VND,Lợi ích số động zhàng kiểm soát VND,Tổng cộng VND,numeric__Vốn góp cửa chú sở râu VND,numeric__Thếng dư vắc cổ phần VND,numeric__Chếnh lệch tỷ giá Bali đổi VND,numeric__Quỹ đầu tư phát triển và dư pháng tài chính VND,numeric__Quỹ khác huế c vốn chủ sở râu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Quỹ dư tơ bất buộc hoạt động basis hiểm VND,numeric__Lợi ích số động zhàng kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,7.008.864.340.000,3.713.089.881.157,15.445.192.000,631.338.591.669,103.568.802.818,2.832.690.188.748(700.886.434.000),428.207.527.572,692.776.454.627,15.475.971.888.731(700.886.434.000),7008864340000.0,3713089881157.0,15445192000.0,631338591669.0,103568802818.0,,428207527572.0,692776454627.0,
Cả tức chia cho cổ đông,Cả tức chia cho cổ đông,Cả tức chia cho cổ đông,,,,,,,,,,,,,,,,,,
Trích quỹ then thưởng phúc lợi,Cả tức chia cho cổ đông > Trích quỹ then thưởng phúc lợi,Trích quỹ then thưởng phúc lợi,,,,,,(89.584.007.817),-,(2.849.500.389),(92.433.508.206),,,,,,-89584007817.0,,-2849500389.0,-92433508206.0
Của công ty mẹ,Cả tức chia cho cổ đông > Của công ty mẹ,Của công ty mẹ,,,,,,(32.760.910.000),-,,(32.760.910.000),,,,,,-32760910000.0,,,-32760910000.0
Của các công ty con,Cả tức chia cho cổ đông > Của các công ty con,Của các công ty con,,,,,,(56.823.097.817),-,(2.849.500.389),(59.672.598.206),,,,,,-56823097817.0,,-2849500389.0,-59672598206.0
Trích quỹ phục vụ hoạt động An sinh cả hồi,Cả tức chia cho cổ đông > Trích quỹ phục vụ hoạt động An sinh cả hồi,Trích quỹ phục vụ hoạt động An sinh cả hồi,,,,,,(10.519.000.000),-,,(10.519.000.000),,,,,,-10519000000.0,,,-10519000000.0
Của công ty mẹ,Cả tức chia cho cổ đông > Của công ty mẹ,Của công ty mẹ,,,,,,(10.519.000.000),-,,(10.519.000.000),,,,,,-10519000000.0,,,-10519000000.0
Trích lập quỹ đầu tư phát triển,Cả tức chia cho cổ đông > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,,,,158.266.176.902,,(158.266.176.902),,,,,,,158266176902.0,,-158266176902.0,,,
Của công ty mẹ,Cả tức chia cho cổ đông > Của công ty mẹ,Của công ty mẹ,,,,157.780.000.000,,(157.780.000.000),,,,,,,157780000000.0,,-157780000000.0,,,
Của các công ty con,Cả tức chia cho cổ đông > Của các công ty con,Của các công ty con,,,,486.176.402,,(486.176.402),,,,,,,486176402.0,,-486176402.0,,,
Tăng vốn trong năm,Cả tức chia cho cổ đông > Tăng vốn trong năm,Tăng vốn trong năm,414.363.300.000,3.597.377.861.810,,,,,,,4.011.741.161.610,414363300000.0,3597377861810.0,,,,,,,4011741161610.0
Lợi nhuận tăng trong năm,Cả tức chia cho cổ đông > Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,,,,,,1.188.459.508.500,,54.245.111.082,1.242.704.619.582,,,,,,1188459508500.0,,54245111082.0,1242704619582.0
Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,,,,,,,,,,,,,,,,,,
Trích lập các quỹ dư trữ,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con > Trích lập các quỹ dư trữ,Trích lập các quỹ dư trữ,,,,11.715.730.428,,(3.402.222.240),,,(3.402.222.240),,,,11715730428.0,,-3402222240.0,,,-3402222240.0
Cả tức chia cho cổ đông không kiểm soát,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con > Cả tức chia cho cổ đông không kiểm soát,Cả tức chia cho cổ đông không kiểm soát,,,,,,(59.737.098.389),48.020.385.931,,,,,,,,-59737098389.0,48020385931.0,,
Ciảm khác,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con > Ciảm khác,Ciảm khác,,,,,,(11.567.587.447),,(8.675.885.600),(8.675.885.600),,,,,,-11567587447.0,,-8675885600.0,-8675885600.0
,,,,,,,,,,(324.713.816),(11.802.301.253),,,,,,,,-324713816.0,-11802301253.0
Tại ngày 31/12/2019,Cải trả thu lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con > Tại ngày 31/12/2019,Tại ngày 31/12/2019,7.423.227.640.000,7.310.458.742.897,15.445.192.000,801.321.408.599,103.568.802.818,3.037.187.232.453,476.227.833.633,736.171.665.904,19.902.608.518.614,7423227640000.0,7310458742897.0,15445192000.0,801321408599.0,103568802818.0,3037187232453.0,476227833633.0,736171665904.0,19902608518614.0
