row_label_raw,row_label_full,Mã số,CHÍ TIỀU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__CHÍ TIỀU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019
01,01,01,Doanh thu phí bảo hiểm (01 = 02 + 03 + 04),,38.204.891.722.825,35.814.544.336.644,,,38204891722825.0,35814544336644.0
02,02,02,Phi bảo hiểm gốc,26.1,37.727.000.410.986,35.748.172.611.052,,261.0,37727000410986.0,35748172611052.0
03,03,03,Phi nhận tải bảo hiểm,26.2,179.220.641.986,228.918.252.103,,262.0,179220641986.0,228918252103.0
04,04,04,Giảm/(Tăng) dự phòng phi chưa được hưởng của bảo hiểm gốc và nhận tải bảo hiểm,,298.670.669.853,(162.546.526.511),,,298670669853.0,-162546526511.0
05,05,05,Phi nhượng tải bảo hiểm (05 = 06 + 07),,(4.761.215.263.679),(3.084.209.111.942),,,-4761215263679.0,-3084209111942.0
06,06,06,Tổng phí nhượng tải bảo hiểm,27,(4.119.350.824.000),(3.374.388.930.705),,27.0,-4119350824000.0,-3374388930705.0
07,07,07,(Giảm)/Tăng dự phòng phi nhượng tải bảo hiểm,,(641.864.439.589),290.179.818.763,,,-641864439589.0,290179818763.0
08,08,08,Doanh thu phí bảo hiểm thuần (08 = 01 + 05),,33.443.676.459.146,32.730.335.224.702,,,33443676459146.0,32730335224702.0
09,09,09,Hoa hồng nhượng tải bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,,1.080.367.825.398,578.800.862.478,,,1080367825398.0,578800862478.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm (15 = 08 + 09),,34.524.044.284.544,33.309.136.087.180,,,34524044284544.0,33309136087180.0
16,16,16,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,28.1,(12.800.823.934.349),(13.994.053.438.788),,281.0,-12800823934349.0,-13994053438788.0
17,17,17,Chi bồi thường nhận tải bảo hiểm,28.2,(132.653.130.239),(239.973.867.981),,282.0,-132653130239.0,-239973867981.0
18,18,18,Các khoản giảm trừ chi phí (18 = 19 + 20),,3.179.894.839,4.092.472.480,,,3179894839.0,4092472480.0
19,19,19,Thu đổi người thử ba,,1.561.404.451,3.236.476.683,,,1561404451.0,3236476683.0
20,20,20,Thu xử lý hàng bồi thường 100%,,1.618.490.388,855.995.797,,,1618490388.0,855995797.0
21,21,21,Thu bồi thường nhượng tải bảo hiểm,28.3,2.158.008.670.719,2.338.609.076.623,,283.0,2158008670719.0,2338609076623.0
22,22,22,Tăng dự phòng nghiệp vụ bảo hiểm gốc (22 = 23 + 24 + 25 + 26),,(19.123.200.751.466),(15.610.892.917.847),,,-19123200751466.0,-15610892917847.0
23,23,23,Tăng dự phòng toàn học,,(17.544.035.787.158),(15.231.541.739.213),,,-17544035787158.0,-15231541739213.0
24,24,24,Tăng dự phòng lãi cam kết đầu tư tối thiểu,,(1.419.369.122.647),(164.911.468.425),,,-1419369122647.0,-164911468425.0
25,25,25,Tăng dự phòng chia lãi,,(121.723.538.646),(234.467.860.898),,,-121723538646.0,-234467860898.0
26,26,26,(Tăng)/Giảm dự phòng đảm bảo cân đối,,(38.072.303.015),20.028.150.689,,,-38072303015.0,20028150689.0
27,27,27,Giảm dự phòng bồi thường bảo hiểm gốc và nhận tải bảo hiểm,,342.927.712.146,189.391.274.584,,,342927712146.0,189391274584.0
28,28,28,Giảm dự phòng bồi thường nhượng tải bảo hiểm,,(152.814.367.780),(396.604.312.873),,,-152814367780.0,-396604312873.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm (29 = 16 + 17 + 18 + 21 + 22 + 27 + 28),,(29.705.375.906.130),(27.709.431.713.802),,,-29705375906130.0,-27709431713802.0
30,30,30,Tăng dự phòng dao động lớn,,(41.472.073.431),(143.305.387.775),,,-41472073431.0,-143305387775.0
31,31,31,Sử dụng từ dự phòng dao động lớn,,25.306.889.418,214.995.602.838,,,25306889418.0,214995602838.0
