row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,25.428.251,10.386.718,,,(425),35.814.544,25428251.0,10386718.0,,,-425.0,35814544.0
Phi nhượng tài bảo hiểm,Phi nhượng tài bảo hiểm,Phi nhượng tài bảo hiểm,(13.698),(3.070.511),,,,(3.084.209),-13698.0,-3070511.0,,,,-3084209.0
Hoa hồng nhượng tài bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tài bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tài bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,1.136,577.665,,,,578.801,1136.0,577665.0,,,,578801.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,25.415.689,7.893.872,,,(425),33.309.136,25415689.0,7893872.0,,,-425.0,33309136.0
Chi bồi thường bảo hiểm gốc và chi trả đào hạn,Chi bồi thường bảo hiểm gốc và chi trả đào hạn,Chi bồi thường bảo hiểm gốc và chi trả đào hạn,(7.457.840),(6.536.213),,,,(13.994.053),-7457840.0,-6536213.0,,,,-13994053.0
Chi bồi thường nhận tài bảo hiểm,Chi bồi thường nhận tài bảo hiểm,Chi bồi thường nhận tài bảo hiểm,,(239.974),,,,(239.974),,-239974.0,,,,-239974.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,,4.092,,,,4.092,,4092.0,,,,4092.0
Thu bồi thường nhượng tài bảo hiểm,Thu bồi thường nhượng tài bảo hiểm,Thu bồi thường nhượng tài bảo hiểm,726,2.337.883,,,,2.338.609,726.0,2337883.0,,,,2338609.0
Tăng dư phòng nghiệp vụ bảo hiểm gốc,Tăng dư phòng nghiệp vụ bảo hiểm gốc,Tăng dư phòng nghiệp vụ bảo hiểm gốc,(15.642.077),,,,31.184,(15.610.893),-15642077.0,,,,31184.0,-15610893.0
Tăng dư phòng bồi thường bảo hiểm gốc và nhận tài bảo hiểm,Tăng dư phòng bồi thường bảo hiểm gốc và nhận tài bảo hiểm,Tăng dư phòng bồi thường bảo hiểm gốc và nhận tài bảo hiểm,(58.959),248.350,,,,189.391,-58959.0,248350.0,,,,189391.0
Tăng dư phòng bồi thường nhượng tài bảo hiểm,Tăng dư phòng bồi thường nhượng tài bảo hiểm,Tăng dư phòng bồi thường nhượng tài bảo hiểm,,(272.989),,,(123.615),(396.604),,-272989.0,,,-123615.0,-396604.0
Trích dư phòng dao động lớn,Trích dư phòng dao động lớn,Trích dư phòng dao động lớn,,(143.305),,,,(143.305),,-143305.0,,,,-143305.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,,143.305,,,71.691,214.996,,143305.0,,,71691.0,214996.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.905.585),(2.927.544),,,95.298,(4.737.831),-1905585.0,-2927544.0,,,95298.0,-4737831.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(25.063.735),(7.386.395),,,74.558,(32.375.572),-25063735.0,-7386395.0,,,74558.0,-32375572.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,,,350.379,12.534,(366.920),(4.007),,,350379.0,12534.0,-366920.0,-4007.0
Chi phí bản hàng,Chi phí bản hàng,Chi phí bản hàng,(1.698.659),,,,,(1.698.659),-1698659.0,,,,,-1698659.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(2.258.443),(873.204),(569.234),(25.496),209.351,(3.517.026),-2258443.0,-873204.0,-569234.0,-25496.0,209351.0,-3517026.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,4.682.267,438.499,1.596.755,7.387,(1.038.350),5.686.558,4682267.0,438499.0,1596755.0,7387.0,-1038350.0,5686558.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,27.298,8.578,543,16.329,(49.204),3.544,27298.0,8578.0,543.0,16329.0,-49204.0,3544.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",,,,,107.754,107.754,,,,,107754.0,107754.0
Tổng lợi nhuận kế toàn trước thuế,Tổng lợi nhuận kế toàn trước thuế,Tổng lợi nhuận kế toàn trước thuế,1.104.417,81.350,1.378.443,10.754,(1.063.236),1.511.728,1104417.0,81350.0,1378443.0,10754.0,-1063236.0,1511728.0
