row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020VND,Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2020VND,numeric__Ngày 31 tháng 12năm 2019VND
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,
Trả trước tiên thuê văn phòng,Chi phí trả trước ngắn hạn > Trả trước tiên thuê văn phòng,Trả trước tiên thuê văn phòng,13.111.025.670,11.752.792.909,13111025670.0,11752792909.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước ngắn hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",4.451.974.154,10.775.409.794,4451974154.0,10775409794.0
Chi phí khác,Chi phí trả trước ngắn hạn > Chi phí khác,Chi phí khác,16.459.476.649,10.533.173.409,16459476649.0,10533173409.0
,,,34.022.476.473,33.061.376.112,34022476473.0,33061376112.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,
Trả trước tiên thuê văn phòng,Chi phí trả trước dài hạn > Trả trước tiên thuê văn phòng,Trả trước tiên thuê văn phòng,128.609.331.984,202.126.672.290,128609331984.0,202126672290.0
Cải tạo thiết bị nội thất,Chi phí trả trước dài hạn > Cải tạo thiết bị nội thất,Cải tạo thiết bị nội thất,20.375.607.162,27.078.793.964,20375607162.0,27078793964.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước dài hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",30.398.791.031,37.603.926.140,30398791031.0,37603926140.0
Chi phí khác,Chi phí trả trước dài hạn > Chi phí khác,Chi phí khác,23.309.052.666,26.674.915.211,23309052666.0,26674915211.0
,,,202.692.782.843,293.684.307.605,202692782843.0,293684307605.0
,,,236.715.259.316,326.745.683.717,236715259316.0,326745683717.0
