row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyếtminh,Cho năm tài chínhkết thúc ngày 31thăng 12 năm 2020,Cho năm tài chínhkết thúc ngày 31thăng 12 năm 2019,numeric__CHỈ TIÊU,numeric__Thuyếtminh,numeric__Cho năm tài chínhkết thúc ngày 31thăng 12 năm 2020,numeric__Cho năm tài chínhkết thúc ngày 31thăng 12 năm 2019
,,,III. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG TẢI CHÍNH,,,,,,,
31,31,31,"1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu",,,4.011.741.161.610,,,,4011741161610.0
33,33,33,2. Tiền thu từ đi vay (bao gồm hoạtđộng repo),,17.451.796.200.000,18.565.479.700.464,,,17451796200000.0,18565479700464.0
34,34,34,3. Tiền trả nợ gốc vay (bao gồmhoat động repo),,(18.829.087.539.287),(23.411.545.403.731),,,-18829087539287.0,-23411545403731.0
36,36,36,"4. Cổ tức, lợi nhuận đã trả cho chủsở hữu",,(621.510.028.457),(728.457.959.360),,,-621510028457.0,-728457959360.0
40,40,40,Lưu chuyển tiền thuần sử dụng vàohoạt động tài chính,,(1.998.801.367.744),(1.562.782.501.017),,,-1998801367744.0,-1562782501017.0
50,50,50,Lưu chuyển tiền thuần trong năm,,2.037.359.038.058,2.582.260.285.618,,,2037359038058.0,2582260285618.0
60,60,60,Tiền và tương đương tiền đầu năm,,4.742.602.123.821,2.159.930.729.474,,,4742602123821.0,2159930729474.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoai quyđổi ngoại tệ,,781.201.877,411.108.729,,,781201877.0,411108729.0
70,70,70,Tiền và tương đương tiền cuối năm,5,6.780.742.363.756,4.742.602.123.821,,5.0,6780742363756.0,4742602123821.0
