row_label_raw,row_label_full,col_0,Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư cỏ cấu phần không đảm bảo,Trách nhiệm theo các hợp đồng bảo hiểm không cỏ cấu phần không đảm bảo,Đơn vị: triệu VND,numeric__Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư cỏ cấu phần không đảm bảo,numeric__Trách nhiệm theo các hợp đồng bảo hiểm không cỏ cấu phần không đảm bảo,numeric__Đơn vị: triệu VND
,,,Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư cỏ cấu phần không đảm bảo,Trách nhiệm theo các hợp đồng bảo hiểm không cỏ cấu phần không đảm bảo,Tổng,,,
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2020 > Điều khoản riêng,Điều khoản riêng,439,535.593,536.032,439.0,535593.0,536032.0
Tron đời,Ngày 31 tháng 12 năm 2020 > Tron đời,Tron đời,89.177,-,89.177,89177.0,,89177.0
Từ kỳ,Ngày 31 tháng 12 năm 2020 > Từ kỳ,Từ kỳ,-,11.177,11.177,,11177.0,11177.0
Hỗn hợp,Ngày 31 tháng 12 năm 2020 > Hỗn hợp,Hỗn hợp,19.089.556,23.879.914,42.969.470,19089556.0,23879914.0,42969470.0
Liên kết chung,Ngày 31 tháng 12 năm 2020 > Liên kết chung,Liên kết chung,-,52.312.900,52.312.900,,52312900.0,52312900.0
Niên kim,Ngày 31 tháng 12 năm 2020 > Niên kim,Niên kim,1.180.743,-,1.180.743,1180743.0,,1180743.0
Hưu trí,Ngày 31 tháng 12 năm 2020 > Hưu trí,Hưu trí,-,738.757,738.757,,738757.0,738757.0
Bảo hiểm sức khỏe,Ngày 31 tháng 12 năm 2020 > Bảo hiểm sức khỏe,Bảo hiểm sức khỏe,-,2.892,2.892,,2892.0,2892.0
Tổng cộng,Ngày 31 tháng 12 năm 2020 > Tổng cộng,Tổng cộng,20.359.914,77.481.234,97.841.148,20359914.0,77481234.0,97841148.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2019 > Điều khoản riêng,Điều khoản riêng,1.551,440.256,441.808,1551.0,440256.0,441808.0
Tron đời,Ngày 31 tháng 12 năm 2019 > Tron đời,Tron đời,88.321,-,88.321,88321.0,,88321.0
Từ kỳ,Ngày 31 tháng 12 năm 2019 > Từ kỳ,Từ kỳ,-,10.656,10.656,,10656.0,10656.0
Hỗn hợp,Ngày 31 tháng 12 năm 2019 > Hỗn hợp,Hỗn hợp,15.776.858,20.727.431,36.504.288,15776858.0,20727431.0,36504288.0
Liên kết chung,Ngày 31 tháng 12 năm 2019 > Liên kết chung,Liên kết chung,-,39.850.603,39.850.603,,39850603.0,39850603.0
Niên kim,Ngày 31 tháng 12 năm 2019 > Niên kim,Niên kim,1.172.793,-,1.172.793,1172793.0,,1172793.0
Hưu trí,Ngày 31 tháng 12 năm 2019 > Hưu trí,Hưu trí,-,604.564,604.564,,604564.0,604564.0
Khác,Ngày 31 tháng 12 năm 2019 > Khác,Khác,95.425,-,96.425,95425.0,,96425.0
Tổng cộng,Ngày 31 tháng 12 năm 2019 > Tổng cộng,Tổng cộng,17.135.947,61.633.510,78.769.457,17135947.0,61633510.0,78769457.0
