row_label_raw,row_label_full,CHÍ TIÊU,CHÍ TIÊU_1,Ngày 31 tháng 12năm 2020,Ngày 31 tháng 12năm 2019,numeric__CHÍ TIÊU_1,numeric__Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2019
1.,1.,1.,Hop đồng bảo hiểm chưa phát sinh trách nhiệm (VND),215.722.244.159,263.903.326.567,,215722244159.0,263903326567.0
2.,2.,2.,Nợ khó đòi đã xử lý (VND),7.436.521.813,7.046.121.813,,7436521813.0,7046121813.0
3.,3.,3.,Ngoai tẻ (USD),941.499,2.203.667,,941499.0,2203667.0
4.,4.,4.,Chứng khoán lưu kỳ (VND),29.420.061.882.810,26.472.274.208.189,,29420061882810.0,26472274208189.0
5.,5.,5.,Chứng khoán chưa lưu kỳ (VND),2.767.950.787.600,2.667.009.170.000,,2767950787600.0,2667009170000.0
6.,6.,6.,Tiền gửi của nhà đầu tư ủy thác (VND),1.175.873.185.276,589.451.865.603,,1175873185276.0,589451865603.0
7.,7.,7.,Danh mục đầu tư của nhà đầu tư ủy thác (VND),247.873.383.596,290.697.748.025,,247873383596.0,290697748025.0
8.,8.,8.,Các khoản phải thu của nhà đầu tư ủy thác (VND),7.034.397.261,7.776.055.464,,7034397261.0,7776055464.0
9.,9.,9.,Các khoản phải trả của nhà đầu tư ủy thác (VND),(1.176.118.011.151),(591.556.462.418),,-1176118011151.0,-591556462418.0
10.,10.,10.,"Phải thu lãi tiền gửi, trải phiếu, cho vay ủy thác (VND)",2.424.552.722.009,2.196.508.157.957,,2424552722009.0,2196508157957.0
