row_label_raw,row_label_full,col_0,Thuyếtminh,Cho năm tài chính kết thúc ngày 31/12/2020 VND,Cho năm tài chính kết thúc ngày 31/12/2019 VND,numeric__Thuyếtminh,numeric__Cho năm tài chính kết thúc ngày 31/12/2020 VND,numeric__Cho năm tài chính kết thúc ngày 31/12/2019 VND
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,18.1,519.549.787.848,352.280.288.082,181.0,519549787848.0,352280288082.0
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,8.656.033.413,1.136.004.516,,8656033413.0,1136004516.0
Tổng cộng,Tổng cộng,Tổng cộng,,528.205.821.261,353.416.292.598,,528205821261.0,353416292598.0
