row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cần đổi VND,Dư phòng deso động lớn VND,Tổng công VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cần đổi VND,numeric__Dư phòng deso động lớn VND,numeric__Tổng công VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2019,Bảo hiểm nhân thọ > Ngày 31/12/2019,Ngày 31/12/2019,75.546.683.412.605,181.343.409.045,99.178.054.641,1.813.623.023.450,1.128.629.366.429,95.648.400.780,-,78.865.105.666.950,75546683412605.0,181343409045.0,99178054641.0,1813623023450.0,1128629366429.0,95648400780.0,,78865105666950.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,17.544.035.787.158,19.831.401.229,(33.269.202.638),121.723.538.646,1.419.369.122.647,10.887.296.320,-,19.082.577.943.362,17544035787158.0,19831401229.0,-33269202638.0,121723538646.0,1419369122647.0,10887296320.0,,19082577943362.0
Ngày 31/12/2020,Bảo hiểm nhân thọ > Ngày 31/12/2020,Ngày 31/12/2020,93.090.719.199.763,201.174.610.274,65.908.852.003,1.935.346.562.096,2.547.998.489.076,105.535.697.100,-,97.947.683.610.312,93090719199763.0,201174610274.0,65908852003.0,1935346562096.0,2547998489076.0,105535697100.0,,97947683610312.0
Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,,,,,,,,
Ngày 31/12/2019,Bảo hiểm phí nhân thọ > Ngày 31/12/2019,Ngày 31/12/2019,-,5.087.942.673.015,2.619.503.256.634,-,-,-,42.564.972,7.907.488.494.621,,5087942673015.0,2619503256634.0,,,,42564972.0,7907488494621.0
Thay đổi trong năm,Bảo hiểm phí nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,(318.502.071.082),(309.658.509.508),-,-,27.185.006.695,16.165.184.013,(584.810.389.882),,-318502071082.0,-309658509508.0,,,27185006695.0,16165184013.0,-584810389882.0
Ngày 31/12/2020,Bảo hiểm phí nhân thọ > Ngày 31/12/2020,Ngày 31/12/2020,-,4.769.440.601.933,2.509.844.747.129,-,-,27.185.006.695,16.207.748.985,7.322.678.104.739,,4769440601933.0,2509844747129.0,,,27185006695.0,16207748985.0,7322678104739.0
Ngày 31/12/2019,Bảo hiểm phí nhân thọ > Ngày 31/12/2019,Ngày 31/12/2019,75.546.683.412.605,5.269.286.082.060,2.918.681.311.275,1.813.623.023.450,1.128.629.366.429,95.648.400.780,42.564.972,86.772.594.161.571,75546683412605.0,5269286082060.0,2918681311275.0,1813623023450.0,1128629366429.0,95648400780.0,42564972.0,86772594161571.0
Thay đổi trong năm,Bảo hiểm phí nhân thọ > Thay đổi trong năm,Thay đổi trong năm,17.544.035.787.158,(298.670.669.853),(342.927.712.146),121.723.538.646,1.419.369.122.647,38.072.303.015,16.165.184.013,18.497.767.553.480,17544035787158.0,-298670669853.0,-342927712146.0,121723538646.0,1419369122647.0,38072303015.0,16165184013.0,18497767553480.0
