row_label_raw,row_label_full,col_0,Vốn góp cửa chủ sở hữu VND,Thắng dư vốn cổ phần VND,Chếnh lệch tỷ giá nổi đoai (*) VND,Quỹ đầu tư phát triển và dư phòng tài chính VND,Quỹ khác thuộc với chủ sở hữu (**) VND,Lợi nhuận sau thuế chưa phân phối VND,Quỹ dự từ bất buộc hoạt động bảo hiểm VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp cửa chủ sở hữu VND,numeric__Thắng dư vốn cổ phần VND,numeric__Chếnh lệch tỷ giá nổi đoai (*) VND,numeric__Quỹ đầu tư phát triển và dư phòng tài chính VND,numeric__Quỹ khác thuộc với chủ sở hữu (**) VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Quỹ dự từ bất buộc hoạt động bảo hiểm VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,7.423.227.640.000,7.310.458.742.807,15.445.192.000,801.321.408.999,103.568.802.618,3.037.187.232.453(593.858.211.200),476.227.833.633,735.171.665.904,19.902.608.518.614(593.858.211.200),7423227640000.0,7310458742807.0,15445192000.0,801321408999.0,103568802618.0,,476227833633.0,735171665904.0,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,,,,,,(89.588.815.988),,(3.638.144.521),(93.226.960.507),,,,,,-89588815988.0,,-3638144521.0,-93226960507.0
Trích quỹ khien thưởng phúc lợi,Trích quỹ khien thưởng phúc lợi,Trích quỹ khien thưởng phúc lợi,,,,,,(33.203.549.136),,-,(33.203.549.136),,,,,,-33203549136.0,,,-33203549136.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),,,,,,(56.385.266.850),,(3.638.144.521),(92.023.411.371),,,,,,-56385266850.0,,-3638144521.0,-92023411371.0
Của các công ty cơn,Của các công ty cơn,Của các công ty cơn,,,,,,(10.843.109.505),,,(10.843.109.505),,,,,,-10843109505.0,,,-10843109505.0
Trích quỹ phục vụ hoạt động An sinh xã hội,Trích quỹ phục vụ hoạt động An sinh xã hội,Trích quỹ phục vụ hoạt động An sinh xã hội,,,,,,(10.843.169.505),,,(10.843.169.505),,,,,,-10843169505.0,,,-10843169505.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),,,,,,(157.888.424.020),,,,,,,,,-157888424020.0,,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,,,,157.888.424.020,,(157.888.424.020),,,,,,,157888424020.0,,-157888424020.0,,,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),,,,162.648.000.000,,(762.648.000.000),,,,,,,162648000000.0,,-762648000000.0,,,
Của các công ty cơn,Của các công ty cơn,Của các công ty cơn,,,,(4.759.575.980),,4.759.575.980,,,,,,,-4759575980.0,,4759575980.0,,,
Lợi nhuận tăng trong năm Chir trả thu liao Hội đồng,Lợi nhuận tăng trong năm Chir trả thu liao Hội đồng,Lợi nhuận tăng trong năm Chir trả thu liao Hội đồng,,,,,,1.597.588.285.269,,52.258.687.856,1.649.846.572.925,,,,,,1597588285269.0,,52258687856.0,1649846572925.0
Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty cơn,Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty cơn,Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty cơn,,,,,,(3.036.636.015),,,(3.036.636.015),,,,,,-3036636015.0,,,-3036636015.0
Trích lập các quỹ dự sở,Trích lập các quỹ dự sở,Trích lập các quỹ dự sở,,,,8.148.552.601,,(55.444.625.802),47.206.073.201,,,,,,8148552601.0,,-55444625802.0,47206073201.0,,
Cổ tức chia cho các cổ đông không kiểm soát,Cổ tức chia cho các cổ đông không kiểm soát,Cổ tức chia cho các cổ đông không kiểm soát,,,,,,(800.521.468),,(28.918.992.000),(28.918.992.000),,,,,,-800521468.0,,-28918992000.0,-28918992000.0
Giảm khác,Giảm khác,Giảm khác,,,,,,(523.523.906.834),,(754.873.257.039),(805.521.468),,,,,,-523523906834.0,,-754873257039.0,-805521468.0
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,7.423.227.640.000,7.310.458.742.807,15.445.192.000,967.358.385.620,103.568.802.618,3.723.310.113.726,523.523.906.834,754.873.257.039,20.821.766.040.844,7423227640000.0,7310458742807.0,15445192000.0,967358385620.0,103568802618.0,3723310113726.0,523523906834.0,754873257039.0,20821766040844.0
