row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phân mềm máy tính VND,Tại sản khảo VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phân mềm máy tính VND,numeric__Tại sản khảo VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31/12/2019,Nguyên giá: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,758.296.631.434,648.129.573.629,4.213.321.739,1.410.639.526.802,758296631434.0,648129573629.0,4213321739.0,1410639526802.0
- Mua sám,Nguyên giá: > - Mua sám,- Mua sám,-,1.798.684.000,-,1.798.684.000,,1798684000.0,,1798684000.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,18.025.000.000,-,18.025.000.000,,18025000000.0,,18025000000.0
Vào ngày 31/12/2020,Nguyên giá: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,758.296.631.434,667.953.257.629,4.213.321.739,1.430.463.210.802,758296631434.0,667953257629.0,4213321739.0,1430463210802.0
Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,Giá trị hao món luỹ kế:,,,,
Vào ngày 31/12/2019,Giá trị hao món luỹ kế: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,94.138.987.474,334.597.193.519,4.116.182.840,432.852.363.833,94138987474.0,334597193519.0,4116182840.0,432852363833.0
- Hao mòn trong năm,Giá trị hao món luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.953.618.947,60.551.588.939,88.393.274,68.603.601.160,7953618947.0,60551588939.0,88393274.0,68603601160.0
Vào ngày 31/12/2020,Giá trị hao món luỹ kế: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,102.102.606.421,395.148.782.458,4.204.576.114,501.455.964.993,102102606421.0,395148782458.0,4204576114.0,501455964993.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31/12/2019,Giá trị còn lại: > Vào ngày 31/12/2019,Vào ngày 31/12/2019,664.157.643.960,313.532.380.110,97.138.899,977.787.162.969,664157643960.0,313532380110.0,97138899.0,977787162969.0
Vào ngày 31/12/2020,Giá trị còn lại: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,656.194.025.013,272.804.475.171,8.745.625,929.007.245.809,656194025013.0,272804475171.0,8745625.0,929007245809.0
