row_label_raw,row_label_full,col_0,Biên khả năng thanh toán (triệu VND),Biên khả năng thanh toán tối thiểu (triệu VND),Tỷ lệ biến khả năng thanh toán (%),numeric__Biên khả năng thanh toán (triệu VND),numeric__Biên khả năng thanh toán tối thiểu (triệu VND),numeric__Tỷ lệ biến khả năng thanh toán (%)
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,,,
Tại ngày 31/12/2020,Bảo hiểm Bảo Việt > Tại ngày 31/12/2020,Tại ngày 31/12/2020,2.059.190,1.441.877,144,2059190.0,1441877.0,144.0
Tại ngày 31/12/2019,Bảo hiểm Bảo Việt > Tại ngày 31/12/2019,Tại ngày 31/12/2019,1.939.933,1.791.317,108,1939933.0,1791317.0,108.0
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,,,
Tại ngày 31/12/2020,Bảo Việt Nhân thọ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,5.656.346,5.287.750,107,5656346.0,5287750.0,107.0
Tại ngày 31/12/2019,Bảo Việt Nhân thọ > Tại ngày 31/12/2019,Tại ngày 31/12/2019,4.659.661,4.351.385,107,4659661.0,4351385.0,107.0
