row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020_1,Ngày 31 tháng 12 năm 2020_2,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019_1,Ngày 31 tháng 12 năm 2019_2,numeric__Ngày 31 tháng 12 năm 2020_1,numeric__Ngày 31 tháng 12 năm 2020_2,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2019_1,numeric__Ngày 31 tháng 12 năm 2019_2
Giế gốc,Giế gốc,Giế gốc,Giế trị thuần,Dự phòng,Giế gốc,Giế trị thuần,Dự phòng,,,,,
265.979.803.260,Giế gốc > 265.979.803.260,265.979.803.260,209.912.000.000,(56.067.603.260),265.979.803.260,230.903.200.000,(35.076.803.260),209912000000.0,-56067603260.0,265979803260.0,230903200000.0,-35076803260.0
318.830.560.512,Giế gốc > 318.830.560.512,318.830.560.512,318.830.560.512,-,266.288.379.066,284.364.647.027,(1.923.732.039),318830560512.0,,266288379066.0,284364647027.0,-1923732039.0
310.735.756.074,Giế gốc > 310.735.756.074,310.735.756.074,308.623.506.474,(2.112.249.600),187.054.804.911,141.382.424.500,(45.672.380.411),308623506474.0,-2112249600.0,187054804911.0,141382424500.0,-45672380411.0
-,Giế gốc > -,-,-,-,265.670.160.664,249.522.400.000,(16.147.760.664),,,265670160664.0,249522400000.0,-16147760664.0
668.253.576.732,Giế gốc > 668.253.576.732,668.253.576.732,615.719.507.253,(52.534.069.479),735.433.383.103,625.411.136.512,(110.022.246.591),615719507253.0,-52534069479.0,735433383103.0,625411136512.0,-110022246591.0
1.563.799.696.578,Giế gốc > 1.563.799.696.578,1.563.799.696.578,1.453.085.574.239,(110.714.122.339),1.740.426.531.004,1.531.583.808.039,(208.842.722.965),1453085574239.0,-110714122339.0,1740426531004.0,1531583808039.0,-208842722965.0
160.400.110.254,Giế gốc > 160.400.110.254,160.400.110.254,160.400.110.254,-,118.863.045.654,117.895.445.654,(967.600.000),160400110254.0,,118863045654.0,117895445654.0,-967600000.0
-,Giế gốc > -,-,-,-,107.663.783.440,107.663.783.440,-,,,107663783440.0,107663783440.0,
-,Giế gốc > -,-,-,-,72.745.200.000,72.619.800.000,(125.400.000),,,72745200000.0,72619800000.0,-125400000.0
26.800.000.000,Giế gốc > 26.800.000.000,26.800.000.000,13.200.000.000,(15.600.000.000),28.800.000.000,21.360.000.000,(7.440.000.000),13200000000.0,-15600000000.0,28800000000.0,21360000000.0,-7440000000.0
24.000.000.000,Giế gốc > 24.000.000.000,24.000.000.000,13.572.000.000,(10.428.000.000),24.000.000.000,8.983.650.000,(15.016.350.000),13572000000.0,-10428000000.0,24000000000.0,8983650000.0,-15016350000.0
31.198.745.424,Giế gốc > 31.198.745.424,31.198.745.424,11.719.638.214,(19.479.107.210),242.149.326.750,212.776.666.763,(29.372.659.987),11719638214.0,-19479107210.0,242149326750.0,212776666763.0,-29372659987.0
244.398.855.678,Giế gốc > 244.398.855.678,244.398.855.678,198.891.748.468,(45.507.107.210),594.221.355.844,541.299.345.857,(52.922.009.987),198891748468.0,-45507107210.0,594221355844.0,541299345857.0,-52922009987.0
120.026.959.200,Giế gốc > 120.026.959.200,120.026.959.200,120.026.959.200,-,120.026.959.200,120.026.959.200,-,120026959200.0,,120026959200.0,120026959200.0,
97.088.400.000,Giế gốc > 97.088.400.000,97.088.400.000,97.088.400.000,-,95.170.500.000,95.170.500.000,-,97088400000.0,,95170500000.0,95170500000.0,
90.000.000.000,Giế gốc > 90.000.000.000,90.000.000.000,90.000.000.000,-,-,-,-,90000000000.0,,,,
40.000.000.000,Giế gốc > 40.000.000.000,40.000.000.000,40.000.000.000,-,-,-,-,40000000000.0,,,,
18.459.347.429,Giế gốc > 18.459.347.429,18.459.347.429,18.459.347.429,-,35.204.150.323,35.204.150.323,-,18459347429.0,,35204150323.0,35204150323.0,
365.574.706.529,Giế gốc > 365.574.706.529,365.574.706.529,365.574.706.529,-,250.401.609.523,250.401.609.523,-,365574706529.0,,250401609523.0,250401609523.0,
77.000.000.000,Giế gốc > 77.000.000.000,77.000.000.000,77.000.000.000,-,77.000.000.000,77.000.000.000,-,77000000000.0,,77000000000.0,77000000000.0,
60.000.000.000,Giế gốc > 60.000.000.000,60.000.000.000,60.000.000.000,-,60.000.000.000,60.000.000.000,-,60000000000.0,,60000000000.0,60000000000.0,
55.000.000.000,Giế gốc > 55.000.000.000,55.000.000.000,55.000.000.000,-,55.000.000.000,55.000.000.000,-,55000000000.0,,55000000000.0,55000000000.0,
57.292.853.111,Giế gốc > 57.292.853.111,57.292.853.111,57.292.853.111,-,29.961.457.049,29.520.000.000,(441.457.049),57292853111.0,,29961457049.0,29520000000.0,-441457049.0
26.579.063.354,Giế gốc > 26.579.063.354,26.579.063.354,26.579.063.354,-,24.276.432.682,24.276.432.682,-,26579063354.0,,24276432682.0,24276432682.0,
275.871.916.465,Giế gốc > 275.871.916.465,275.871.916.465,275.871.916.465,-,246.237.889.731,245.796.432.682,(441.457.049),275871916465.0,,246237889731.0,245796432682.0,-441457049.0
2.449.645.175.350,Giế gốc > 2.449.645.175.350,2.449.645.175.350,2.293.423.945.801,(156.221.229.549),2.831.287.386.102,2.569.081.196.101,(262.206.190.001),2293423945801.0,-156221229549.0,2831287386102.0,2569081196101.0,-262206190001.0
