row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND
Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,,
Hoạt động môi giới chứng khoán và bảo lãnhphát hành,Thu nhập từ các hoạt động khác > Hoạt động môi giới chứng khoán và bảo lãnhphát hành,Hoạt động môi giới chứng khoán và bảo lãnhphát hành,165.982.093.674,126.457.121.411,165982093674.0,126457121411.0
Dịch vụ tư vấn đầu tư,Thu nhập từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,8.499.895.454,10.782.045.453,8499895454.0,10782045453.0
Dịch vụ lưu ký chứng khoán,Thu nhập từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,5.470.747.111,4.851.597.302,5470747111.0,4851597302.0
Quản lý danh mục đầu tư,Thu nhập từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,4.200.494.321,4.205.497.943,4200494321.0,4205497943.0
Cho thuê và quản lý bất động sản,Thu nhập từ các hoạt động khác > Cho thuê và quản lý bất động sản,Cho thuê và quản lý bất động sản,55.505.332.365,63.922.557.436,55505332365.0,63922557436.0
Dịch vụ đào tạo,Thu nhập từ các hoạt động khác > Dịch vụ đào tạo,Dịch vụ đào tạo,32.815.153.234,28.733.853.773,32815153234.0,28733853773.0
Hoạt động xây dựng và kinh doanh thương mại,Thu nhập từ các hoạt động khác > Hoạt động xây dựng và kinh doanh thương mại,Hoạt động xây dựng và kinh doanh thương mại,146.478.451.722,90.117.494.426,146478451722.0,90117494426.0
Các dịch vụ khác,Thu nhập từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,14.334.984.770,7.660.717.781,14334984770.0,7660717781.0
,,,433.287.152.651,336.730.885.525,433287152651.0,336730885525.0
Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,,
Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,Chi phí từ các hoạt động khác > Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,(117.933.887.676),(115.339.334.556),-117933887676.0,-115339334556.0
Dịch vụ tư vấn đầu tư,Chi phí từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,(15.947.095.197),(11.888.057.092),-15947095197.0,-11888057092.0
Dịch vụ lưu ký chứng khoán,Chi phí từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,(16.078.708.610),(14.920.127.758),-16078708610.0,-14920127758.0
Quản lý danh mục đầu tư,Chi phí từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,(1.922.383.360),(4.632.349.226),-1922383360.0,-4632349226.0
Quản lý bất động sản,Chi phí từ các hoạt động khác > Quản lý bất động sản,Quản lý bất động sản,(72.402.808.894),(33.390.694.255),-72402808894.0,-33390694255.0
Hoạt động xây dựng và kinh doanh thương mại,Chi phí từ các hoạt động khác > Hoạt động xây dựng và kinh doanh thương mại,Hoạt động xây dựng và kinh doanh thương mại,(147.910.744.550),(121.056.323.952),-147910744550.0,-121056323952.0
Các dịch vụ khác,Chi phí từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,(45.738.640.199),(39.510.843.827),-45738640199.0,-39510843827.0
,,,(417.934.268.486),(340.737.730.666),-417934268486.0,-340737730666.0
,,,15.352.884.165,(4.006.845.141),15352884165.0,-4006845141.0
