row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Giá trị ghi số > Nguyễn giá,Giá trị ghi số > Dự phòng giảm giả trị,Giá trị ghi số > Giá trị thuần,Đơn vị triệu VND > Giá trị hợp lý,numeric__Giá trị ghi số > Nguyễn giá,numeric__Giá trị ghi số > Dự phòng giảm giả trị,numeric__Giá trị ghi số > Giá trị thuần,numeric__Đơn vị triệu VND > Giá trị hợp lý
TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,TẢI SẢN TẢI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đào hạn,TẢI SẢN TẢI CHÍNH > Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,122.624.756,(1.117.352),121.507.404,142.103.925,122624756.0,-1117352.0,121507404.0,142103925.0
- Hop đồng tiến gửi có ký hạn,TẢI SẢN TẢI CHÍNH > - Hop đồng tiến gửi có ký hạn,- Hop đồng tiến gửi có ký hạn,85.607.936,(442.600),85.165.336,88.102.697,85607936.0,-442600.0,85165336.0,88102697.0
- Trái phiếu,TẢI SẢN TẢI CHÍNH > - Trái phiếu,- Trái phiếu,37.016.820,(674.752),36.342.068,54.001.228,37016820.0,-674752.0,36342068.0,54001228.0
Chủng khoản kinh doanh,TẢI SẢN TẢI CHÍNH > Chủng khoản kinh doanh,Chủng khoản kinh doanh,2.449.646,(156.221),2.293.425,3.191.633,2449646.0,-156221.0,2293425.0,3191633.0
- Có phiếu niêm yết,TẢI SẢN TẢI CHÍNH > - Có phiếu niêm yết,- Có phiếu niêm yết,1.563.800,(110.714),1.453.086,2.180.487,1563800.0,-110714.0,1453086.0,2180487.0
- Có phiếu chưa niêm yết,TẢI SẢN TẢI CHÍNH > - Có phiếu chưa niêm yết,- Có phiếu chưa niêm yết,244.399,(45.507),198.892,221.054,244399.0,-45507.0,198892.0,221054.0
- Chủng chỉ quỹ,TẢI SẢN TẢI CHÍNH > - Chủng chỉ quỹ,- Chủng chỉ quỹ,275.872,-,275.872,416.647,275872.0,,275872.0,416647.0
- Trái phiếu,TẢI SẢN TẢI CHÍNH > - Trái phiếu,- Trái phiếu,365.575,-,365.575,373.445,365575.0,,365575.0,373445.0
Đầu tư tài chính khác,TẢI SẢN TẢI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,874.538,(120.753),753.785,1.218.309,874538.0,-120753.0,753785.0,1218309.0
Cho vay và tạm ứng cho khách hàng,TẢI SẢN TẢI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,4.603.098,(75.402),4.527.696,4.527.696,4603098.0,-75402.0,4527696.0,4527696.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN TẢI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.050.798,(261.483),789.315,799.790,1050798.0,-261483.0,789315.0,799790.0
Phải thu tái bảo hiểm,TẢI SẢN TẢI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,704.066,-,704.066,700.958,704066.0,,704066.0,700958.0
Tài sản tai bảo hiểm,TẢI SẢN TẢI CHÍNH > Tài sản tai bảo hiểm,Tài sản tai bảo hiểm,2.246.696,-,2.246.696,2.246.696,2246696.0,,2246696.0,2246696.0
Phải thu khác,TẢI SẢN TẢI CHÍNH > Phải thu khác,Phải thu khác,341.618,(83.743),257.875,257.875,341618.0,-83743.0,257875.0,257875.0
"- Các khoản cảm có, ký quỹ, ký cược","TẢI SẢN TẢI CHÍNH > - Các khoản cảm có, ký quỹ, ký cược","- Các khoản cảm có, ký quỹ, ký cược",71.586,-,71.586,71.586,71586.0,,71586.0,71586.0
- Phải thu cổ tức,TẢI SẢN TẢI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,6.269,-,6.269,6.269,6269.0,,6269.0,6269.0
- Khác,TẢI SẢN TẢI CHÍNH > - Khác,- Khác,263.763,(83.743),180.020,180.020,263763.0,-83743.0,180020.0,180020.0
Tiền và các khoản tương đương tiền,TẢI SẢN TẢI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.780.742,-,6.780.742,6.780.742,6780742.0,,6780742.0,6780742.0
TỔNG CỘNG,TẢI SẢN TẢI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,141.675.958,(1.814.954),139.861.004,161.827.624,141675958.0,-1814954.0,139861004.0,161827624.0
