row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Giao dịch,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Các bên liên quan,Các bên liên quan,Các bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2020VND,Ngày 31 tháng 12năm 2019VND,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,"Số dư tiền gửi thanhtoán, kỳ quỹ",158.768.384.872,3.197.248.375.823,,158768384872.0,3197248375823.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Tiền đang chuyển,80.453.716.295,25.053.311.102,,80453716295.0,25053311102.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư tiền gửi có kỳ hạnvà lãi dự thu,8.187.911.121.581,11.279.720.579.880,,8187911121581.0,11279720579880.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư trái phiếu và láidụ thu,1.316.600.746.871,1.309.111.868.378,,1316600746871.0,1309111868378.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư các hợp đồngmua bản lại trải phiếuChính phủ,(4.137.884.187.807),(3.084.197.927.697),,-4137884187807.0,-3084197927697.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,"Phải thu phí CNTT, dịchvụ đào tạo",940.364.220,937.940.854,,940364220.0,937940854.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư trải phiếu BVSCphát hành và lãi dự trảCác khoản vay,-,(200.193.848.717),,,-200193848717.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,,-,(5.026.868.613),,,-5026868613.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,"Phải trả tiền đạt cọc thuếvăn phòng, trả trước tiềnthuế văn phòng",(317.371.824),(317.371.824),,-317371824.0,-317371824.0
