row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020 > Giá gốc,Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2019 > Giá gốc,Ngày 31 tháng 12 năm 2019 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2020 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),68.542.141.630.509,68.099.541.630.509,58.913.660.404.237,58.471.060.404.237,68542141630509.0,68099541630509.0,58913660404237.0,58471060404237.0
Trải phiếu,Ngắn hạn > Trải phiếu,Trải phiếu,1.832.852.924.813,1.158.100.608.311,974.752.316.501,300.000.000.000,1832852924813.0,1158100608311.0,974752316501.0,300000000000.0
- Trải phiếu doanh nghiệp (iii),Ngắn hạn > - Trải phiếu doanh nghiệp (iii),- Trải phiếu doanh nghiệp (iii),1.724.395.245.470,1.049.642.928.968,874.752.316.501,200.000.000.000,1724395245470.0,1049642928968.0,874752316501.0,200000000000.0
- Trải phiếu Chính phủ (iv),Ngắn hạn > - Trải phiếu Chính phủ (iv),- Trải phiếu Chính phủ (iv),108.457.679.343,108.457.679.343,100.000.000.000,100.000.000.000,108457679343.0,108457679343.0,100000000000.0,100000000000.0
Tam ứng từ giá trị hoàn lại (v),Ngắn hạn > Tam ứng từ giá trị hoàn lại (v),Tam ứng từ giá trị hoàn lại (v),2.167.077.419.773,2.167.077.419.773,1.740.925.415.433,1.740.925.415.433,2167077419773.0,2167077419773.0,1740925415433.0,1740925415433.0
,,,72.542.071.975.095,71.424.719.658.593,61.629.338.136.171,60.511.985.819.670,72542071975095.0,71424719658593.0,61629338136171.0,60511985819670.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),14.119.017.923.547,14.119.017.923.547,10.028.466.854.640,10.028.466.854.640,14119017923547.0,14119017923547.0,10028466854640.0,10028466854640.0
Trải phiếu (iv),Dài hạn > Trải phiếu (iv),Trải phiếu (iv),33.952.842.736.982,33.952.842.736.982,32.085.378.307.617,32.085.378.307.617,33952842736982.0,33952842736982.0,32085378307617.0,32085378307617.0
- Trải phiếu doanh nghiệp,Dài hạn > - Trải phiếu doanh nghiệp,- Trải phiếu doanh nghiệp,5.365.123.419.000,5.365.123.419.000,3.456.383.087.895,3.456.383.087.895,5365123419000.0,5365123419000.0,3456383087895.0,3456383087895.0
