row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,Kinh doanh con giống và chế biến thực phẩm,Điều chỉnh và loại trừ,Đơn vị tính: VND,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,numeric__Kinh doanh con giống và chế biến thực phẩm,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,5.610.442.965.726,769.284.985.421,4.730.272.805.665,-,11.110.000.756.812,5610442965726.0,769284985421.0,4730272805665.0,,11110000756812.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,7.162.490.901.975,59.810.922.418,2.164.686.272.461,(9.386.988.096.854),-,7162490901975.0,59810922418.0,2164686272461.0,-9386988096854.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,12.772.933.867.701,829.095.907.839,6.894.959.078.126,(9.386.988.096.854),11.110.000.756.812,12772933867701.0,829095907839.0,6894959078126.0,-9386988096854.0,11110000756812.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,242.366.549.684,210.911.252.647,(515.463.875.398),159.935.284.419,97.749.211.352,242366549684.0,210911252647.0,-515463875398.0,159935284419.0,97749211352.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(29.747.440.974),(42.182.250.530),(812.325.633),-,(72.742.017.137),-29747440974.0,-42182250530.0,-812325633.0,,-72742017137.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,212.619.108.710,168.729.002.117,(516.276.201.031),159.935.284.419,25.007.194.215,212619108710.0,168729002117.0,-516276201031.0,159935284419.0,25007194215.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,192.057.795.650,9.978.050.614,297.971.410.671,-,500.007.256.935,192057795650.0,9978050614.0,297971410671.0,,500007256935.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,210.217.013.965,10.921.483.287,326.144.846.067,-,547.283.343.319,210217013965.0,10921483287.0,326144846067.0,,547283343319.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,10.042.389.255.195,1.382.263.874.002,5.998.344.965.369,(4.411.293.836.694),13.011.704.257.872,10042389255195.0,1382263874002.0,5998344965369.0,-4411293836694.0,13011704257872.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,10.042.389.255.195,1.382.263.874.002,5.998.344.965.369,(5.612.875.059.862),11.810.123.034.704,10042389255195.0,1382263874002.0,5998344965369.0,-5612875059862.0,11810123034704.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,1.201.581.223.168,1.201.581.223.168,,,,1201581223168.0,1201581223168.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,7.059.009.175.742,721.074.036.934,6.573.913.208.475,(6.008.527.020.725),8.345.469.400.426,7059009175742.0,721074036934.0,6573913208475.0,-6008527020725.0,8345469400426.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.059.009.175.742,721.074.036.934,6.573.913.208.475,(6.008.527.020.725),8.345.469.400.426,7059009175742.0,721074036934.0,6573913208475.0,-6008527020725.0,8345469400426.0
