row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Các khoản đặt cọc liên quan đến các dự án bất động sản,Ngắn hạn > Các khoản đặt cọc liên quan đến các dự án bất động sản,Các khoản đặt cọc liên quan đến các dự án bất động sản,237.617.644.270,285.793.734.323,237617644270.0,285793734323.0
Phải trả từ L/C UPAS,Ngắn hạn > Phải trả từ L/C UPAS,Phải trả từ L/C UPAS,-,686.258.553.711,,686258553711.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,31.381.710.204,65.335.258.423,31381710204.0,65335258423.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,268.999.354.474,1.037.387.546.457,268999354474.0,1037387546457.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),Dài hạn > Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),116.122.867.420,131.058.667.000,116122867420.0,131058667000.0
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",35.441.462.971,36.576.462.971,35441462971.0,36576462971.0
"Các khoản phải trả, phải nộp dài hạn khác","Dài hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",18.920.833.099,9.814.252.447,18920833099.0,9814252447.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,170.485.163.490,177.449.382.418,170485163490.0,177449382418.0
