row_label_raw,row_label_full,Bên liên quan > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1),Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1),Đơn vị tính: VND > Số cuối năm > 1.000.000.000,Đơn vị tính: VND > Số đầu năm > 1.000.000.000,numeric__Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số cuối năm > 1.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 1.000.000.000
,,,,1.000.000.000,1.000.000.000,,1000000000.0,1000000000.0
Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),,,,,
Công ty Cổ phần Transeco,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,14.304.537.210,9.428.151.504,,14304537210.0,9428151504.0
Công ty Cổ phần Chế biến thực phẩm Dabaco,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Cổ phần Chế biến thực phẩm Dabaco,Công ty Cổ phần Chế biến thực phẩm Dabaco,Công ty liên kết,402.077.252,-,,402077252.0,
,,,,14.706.614.462,9.428.151.504,,14706614462.0,9428151504.0
