row_label_raw,row_label_full,Related parties,Relationship,Ending balance,Currency: VNDBeginning balance,numeric__Relationship,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Other receivables from key management member on the transfer of shares in an associate (Note 7.1),Other receivables from key management member on the transfer of shares in an associate (Note 7.1),Other receivables from key management member on the transfer of shares in an associate (Note 7.1),Other receivables from key management member on the transfer of shares in an associate (Note 7.1),"1,000,000,000","1,000,000,000",,,
,,,,"1,000,000,000","1,000,000,000",,,
Short-term trade payables (Note 17.1),Short-term trade payables (Note 17.1),Short-term trade payables (Note 17.1),Short-term trade payables (Note 17.1),,,,,
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,Associate,"14,304,537,210","9,428,151,504",,,
Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Associate,"402,077,252",-,,,
,,,,"14,706,614,462","9,428,151,504",,,
