row_label_raw,row_label_full,Name,col_1,Ending balance > Value(VND),Ending balance > Ownership,Ending balance > Voting right,Beginning balance > Value(VND),Beginning balance > Ownership,Beginning balance > Voting right,numeric__col_1,numeric__Ending balance > Value(VND),numeric__Ending balance > Ownership,numeric__Ending balance > Voting right,numeric__Beginning balance > Value(VND),numeric__Beginning balance > Ownership,numeric__Beginning balance > Voting right
Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,(i),"74,375,314,668",49.56%,49.56%,"80,343,996,473",49.56%,49.56%,,,49.56,49.56,,49.56,49.56
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,(ii),"31,755,102,961",33.33%,33.33%,"29,216,798,156",33.33%,33.33%,,,33.33,33.33,,33.33,33.33
TOTAL,TOTAL,TOTAL,,"106,130,417,629",,,"109,560,794,629",,,,,,,,,
