row_label_raw,row_label_full,col_0,Beginning balance,Movement during the year,Movement during the year_1,Currency: VNDEnding balance,numeric__Beginning balance,numeric__Movement during the year,numeric__Movement during the year_1,numeric__Currency: VNDEnding balance
,,,Balance (Amount payable),Increase,Decrease,Balance (Amount payable),,,,
Short-term,Short-term,Short-term,Short-term,Short-term,Short-term,Short-term,,,,
Loans from banks (Note 21.1),Loans from banks (Note 21.1),Loans from banks (Note 21.1),"4,556,026,208,104","13,459,954,720,794","(13,457,845,094,953)","4,558,135,833,945",,,,
Current portion of long-term loans (Note 21.2),Current portion of long-term loans (Note 21.2),Current portion of long-term loans (Note 21.2),"176,204,873,373","270,508,574,600","(192,540,285,455)","254,173,162,518",,,,
Current portion of long-term financial lease obligations (Note 21.3),Current portion of long-term financial lease obligations (Note 21.3),Current portion of long-term financial lease obligations (Note 21.3),"108,489,727,777","148,889,834,942","(141,226,297,388)","116,153,265,331",,,,
TOTAL,TOTAL,TOTAL,"4,840,720,809,254","13,879,353,130,336","(13,791,611,677,796)","4,928,462,261,794",,,,
Long-term,Long-term,Long-term,Long-term,Long-term,Long-term,Long-term,,,,
Loans from banks (Note 21.2),Loans from banks (Note 21.2),Loans from banks (Note 21.2),"716,468,020,646","127,140,231,000","(272,508,574,600)","571,099,677,046",,,,
Financial lease obligations (Note 21.3),Financial lease obligations (Note 21.3),Financial lease obligations (Note 21.3),"309,946,531,610","33,662,724,888","(150,412,072,147)","193,197,184,351",,,,
TOTAL,TOTAL,TOTAL,"1,026,414,552,256","160,802,955,888","(422,920,646,747)","764,296,861,397",,,,
