row_label_raw,row_label_full,Ms Dinh Thi Minh Thuan,Incharge of function,numeric__Incharge of function
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Member,
Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Member,
