row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000,Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.794.676.890.507 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 8.099.190.503 > 25.007.194.215,Lợi ích cổ đông không kiểm soát > Năm trước: > -,Đơn vị tính: VND Tổng cộng > Năm trước: > 4.641.227.663.231 > 25.007.194.215,numeric__Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.794.676.890.507 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 8.099.190.503 > 25.007.194.215,numeric__Lợi ích cổ đông không kiểm soát > Năm trước: > -,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 4.641.227.663.231 > 25.007.194.215
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,5.194.587.097,(5.194.587.097),-,-,,,5194587097.0,-5194587097.0,,
Số cuối năm,Số cuối năm,Số cuối năm,2.420.018.590.000,418.432.992.221,1.799.871.477.604,27.911.797.621,-,4.666.234.857.446,2420018590000.0,418432992221.0,1799871477604.0,27911797621.0,,4666234857446.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,2.420.018.590.000,418.432.992.221,1.799.871.477.604,27.911.797.621,-,4.666.234.857.446,2420018590000.0,418432992221.0,1799871477604.0,27911797621.0,,4666234857446.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,769.083.752.455,-,769.083.752.455,,,,769083752455.0,,769083752455.0
- Tăng vốn (*),Năm nay: > - Tăng vốn (*),- Tăng vốn (*),806.672.860.000,403.336.430.000,-,-,-,1.210.009.290.000,806672860000.0,403336430000.0,,,,1210009290000.0
- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),Năm nay: > - Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),120.000.000.000,-,-,-,-,120.000.000.000,120000000000.0,,,,,120000000000.0
- Trích lập quỹ đầu tư phát triển (**),Năm nay: > - Trích lập quỹ đầu tư phát triển (**),- Trích lập quỹ đầu tư phát triển (**),-,-,25.007.194.215,(25.007.194.215),-,-,,,25007194215.0,-25007194215.0,,
- Giảm khác,Năm nay: > - Giảm khác,- Giảm khác,-,(248.200.000),-,-,-,(248.200.000),,-248200000.0,,,,-248200000.0
- Góp vốn của cổ đông không kiểm soát,Năm nay: > - Góp vốn của cổ đông không kiểm soát,- Góp vốn của cổ đông không kiểm soát,-,-,-,-,1.000.000.000,1.000.000.000,,,,,1000000000.0,1000000000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.346.691.450.000,821.521.222.221,1.824.878.671.819,771.988.355.861,1.000.000.000,6.766.079.699.901,3346691450000.0,821521222221.0,1824878671819.0,771988355861.0,1000000000.0,6766079699901.0
