row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",37.437.560.501,26.979.513.489,37437560501.0,26979513489.0
Chi phí môi giới bắt động sản,Ngắn hạn > Chi phí môi giới bắt động sản,Chi phí môi giới bắt động sản,-,262.027.518,,262027518.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,4.239.037.546,4.050.602.975,4239037546.0,4050602975.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,41.676.598.047,31.292.143.982,41676598047.0,31292143982.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",60.460.324.547,43.092.689.905,60460324547.0,43092689905.0
Chi phí giống,Dài hạn > Chi phí giống,Chi phí giống,60.225.799.464,84.980.497.808,60225799464.0,84980497808.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,3.092.976.086,1.848.840.216,3092976086.0,1848840216.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,123.779.100.097,129.922.027.929,123779100097.0,129922027929.0
