row_label_raw,row_label_full,col_0,31 December 2024,31 December 2024_1,31 December 2024_2,numeric__31 December 2024,numeric__31 December 2024_1,numeric__31 December 2024_2
,,,Total minimum lease payments,Finance charges,Lease liabilities,,,
Current liabilities,Current liabilities,Current liabilities,Current liabilities,Current liabilities,Current liabilities,,,
Less than 1 year,Less than 1 year,Less than 1 year,"124,473,597,802","8,320,332,471","116,153,265,331",,,
Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,,,
From 1 - 5 years,From 1 - 5 years,From 1 - 5 years,"206,607,306,539","13,410,122,188","193,197,184,351",,,
TOTAL,TOTAL,TOTAL,"331,080,904,341","21,730,454,659","309,350,449,682",,,
,,,31 December 2023,31 December 2023,31 December 2023,,,
,,,Total minimum lease payments,Finance charges,Lease liabilities,,,
Current liabilities,Current liabilities,Current liabilities,Current liabilities,Current liabilities,Current liabilities,,,
Less than 1 year,Less than 1 year,Less than 1 year,"119,859,356,754","11,369,628,977","108,489,727,777",,,
Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,Non-current liabilities,,,
From 1 - 5 years,From 1 - 5 years,From 1 - 5 years,"334,497,180,571","24,550,648,961","309,946,531,610",,,
TOTAL,TOTAL,TOTAL,"454,356,537,325","35,920,277,938","418,436,259,387",,,
