row_label_raw,row_label_full,col_0,Machinery and equipment,Means of transportation,Currency: VND Total,numeric__Machinery and equipment,numeric__Means of transportation,numeric__Currency: VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance,Beginning balance,Beginning balance,"759,806,027,325","3,918,147,273","763,724,174,598",,,
- Additional leases,- Additional leases,- Additional leases,"22,821,210,224","1,705,322,461","24,526,532,685",,,
- Other reductions,- Other reductions,- Other reductions,"(5,475,186,667)",-,"(5,475,186,667)",,,
- Transfer to tangible fixed assets (Note 10),- Transfer to tangible fixed assets (Note 10),- Transfer to tangible fixed assets (Note 10),"(117,306,804,549)","(1,463,318,182)","(118,770,122,731)",,,
Ending balance,Ending balance,Ending balance,"659,845,246,333","4,160,151,552","664,005,397,885",,,
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,,,
Beginning balance,Beginning balance,Beginning balance,"147,613,191,535","1,452,696,648","149,065,888,183",,,
- Depreciation for the year,- Depreciation for the year,- Depreciation for the year,"96,397,833,467","719,932,818","97,117,766,285",,,
- Other reductions,- Other reductions,- Other reductions,"(203,133,930)",-,"(203,133,930)",,,
- Transfer to tangible fixed assets (Note 10),- Transfer to tangible fixed assets (Note 10),- Transfer to tangible fixed assets (Note 10),"(52,899,268,421)","(627,136,370)","(53,526,404,791)",,,
Ending balance,Ending balance,Ending balance,"190,908,622,651","1,545,493,096","192,454,115,747",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,"612,192,835,790","2,465,450,625","614,658,286,415",,,
Ending balance,Ending balance,Ending balance,"468,936,623,682","2,614,658,456","471,551,282,138",,,
