row_label_raw,row_label_full,Code,RESOURCES,Notes,Ending balance,Beginning balance,numeric__RESOURCES,numeric__Notes,numeric__Ending balance,numeric__Beginning balance
300,300,300,C. LIABILITIES,,"7,355,476,127,696","8,345,469,400,426",,,,
310,310,310,I. Current liabilities,,"6,420,694,102,809","7,141,605,465,752",,,,
311,310 > 311,311,1. Short-term trade payables,17.1,"762,647,490,938","795,600,820,770",,171.0,,
312,310 > 312,312,2. Short-term advances from customers,17.2,"207,417,787,622","221,365,130,349",,172.0,,
313,310 > 313,313,3. Statutory obligations,18,"100,250,908,048","32,466,081,244",,18.0,,
314,314,314,4. Payables to employees,,"86,273,324,190","76,318,847,292",,,,
315,314 > 315,315,5. Short-term accrued expenses,19,"53,127,382,836","104,358,924,479",,19.0,,
319,314 > 319,319,6. Other short-term payables,20,"268,999,354,474","1,037,387,546,457",,20.0,,
320,314 > 320,320,7. Short-term loan and finance lease obligations,21,"4,928,462,261,794","4,840,720,809,254",,21.0,,
322,314 > 322,322,8. Bonus and welfare fund,22,"13,515,592,907","33,387,305,907",,22.0,,
330,330,330,II. Non-current liabilities,,"934,782,024,887","1,203,863,934,674",,,,
337,330 > 337,337,1. Other long-term liabilities,20,"170,485,163,490","177,449,382,418",,20.0,,
338,330 > 338,338,2. Long-term loans and finance lease obligations,21,"764,296,861,397","1,026,414,552,256",,21.0,,
400,400,400,D. OWNERS' EQUITY,,"6,766,079,699,901","4,666,234,857,446",,,,
410,400 > 410,410,I. Owners' equity,23.1,"6,766,079,699,901","4,666,234,857,446",,231.0,,
411,411,411,1. Contributed charter capital,,"3,346,691,450,000","2,420,018,590,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,346,691,450,000","2,420,018,590,000",,,,
412,412,412,2. Share premium,,"821,521,222,221","418,432,992,221",,,,
418,418,418,3. Investment and development fund,,"1,824,878,671,819","1,799,871,477,604",,,,
421,421,421,4. Undistributed earnings,,"771,988,355,861","27,911,797,621",,,,
421a,421a,421a,- Undistributed earnings by the end of prior year,,"2,904,603,406","2,904,603,406",,,,
421b,421b,421b,- Undistributed earnings of current year,,"769,083,752,455","25,007,194,215",,,,
429,429,429,5. Non-controlling interests,,"1,000,000,000",-,,,,
440,440,440,TOTAL LIABILITIES AND OWNERS' EQUITY,,"14,121,555,827,597","13,011,704,257,872",,,,
