row_label_raw,row_label_full,col_0,Currency: VND,Currency: VND_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,Current year,Previous year,,
Selling expenses,Selling expenses,Selling expenses,"469,098,857,795","432,440,161,015",,
- Labour costs,- Labour costs,- Labour costs,"258,476,326,977","216,888,354,676",,
- Expenses for external services,- Expenses for external services,- Expenses for external services,"95,705,638,562","125,335,242,949",,
- Depreciation expenses,- Depreciation expenses,- Depreciation expenses,"36,919,002,165","33,177,879,576",,
- Tool and suppliers,- Tool and suppliers,- Tool and suppliers,"19,103,950,358","19,838,845,590",,
- Others,- Others,- Others,"58,893,939,733","37,199,838,224",,
General and administrative expenses,General and administrative expenses,General and administrative expenses,"391,719,812,986","356,355,906,770",,
- Labour costs,- Labour costs,- Labour costs,"228,797,126,767","207,436,244,368",,
- Depreciation expenses,- Depreciation expenses,- Depreciation expenses,"54,695,731,456","58,395,651,467",,
- Expenses for external services,- Expenses for external services,- Expenses for external services,"51,419,937,248","39,935,821,102",,
- Others,- Others,- Others,"56,807,017,515","50,588,189,833",,
TOTAL,TOTAL,TOTAL,"860,818,670,781","788,796,067,785",,
