row_label_raw,row_label_full,Buildings and structures,5 - 40 years,numeric__5 - 40 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,3 - 20 years,
Means of transportation,Means of transportation,Means of transportation,3 - 10 years,
Office equipment,Office equipment,Office equipment,3 - 10 years,
