row_label_raw,row_label_full,col_0,Consolidated balance sheet,Consolidated balance sheet_1,Consolidated income statement,Consolidated income statement_1,numeric__Consolidated balance sheet,numeric__Consolidated balance sheet_1,numeric__Consolidated income statement,numeric__Consolidated income statement_1
,,,Ending balance,Beginning balance,Current year,Previous year,,,,
Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,,,,
Unbilled trade discounts,Unbilled trade discounts,Unbilled trade discounts,"22,429,503,546",-,,,,,,
Unbilled trade discounts,Unbilled trade discounts,Unbilled trade discounts,"22,429,503,546",-,,,,,,
Net deferred tax assets,Net deferred tax assets,Net deferred tax assets,"22,429,503,546",-,"22,429,503,546",-,,,,
Net deferred tax credit to consolidated income statement,Net deferred tax credit to consolidated income statement,Net deferred tax credit to consolidated income statement,,,"22,429,503,546",-,,,,
