row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,759.806.027.325,3.918.147.273,763.724.174.598,759806027325.0,3918147273.0,763724174598.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,22.821.210.224,1.705.322.461,24.526.532.685,22821210224.0,1705322461.0,24526532685.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(5.475.186.667),-,(5.475.186.667),-5475186667.0,,-5475186667.0
- Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),Nguyên giá: > - Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),- Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),(117.306.804.549),(1.463.318.182),(118.770.122.731),-117306804549.0,-1463318182.0,-118770122731.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,659.845.246.333,4.160.151.552,664.005.397.885,659845246333.0,4160151552.0,664005397885.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,147.613.191.535,1.452.696.648,149.065.888.183,147613191535.0,1452696648.0,149065888183.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,96.397.833.467,719.932.818,97.117.766.285,96397833467.0,719932818.0,97117766285.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(203.133.930),-,(203.133.930),-203133930.0,,-203133930.0
- Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),- Phân loại sang TSCĐ hữu hình(Thuyết minh số 10),(52.899.268.421),(627.136.370),(53.526.404.791),-52899268421.0,-627136370.0,-53526404791.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,190.908.622.651,1.545.493.096,192.454.115.747,190908622651.0,1545493096.0,192454115747.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,612.192.835.790,2.465.450.625,614.658.286.415,612192835790.0,2465450625.0,614658286415.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,468.936.623.682,2.614.658.456,471.551.282.138,468936623682.0,2614658456.0,471551282138.0
