row_label_raw,row_label_full,col_0,Currency: VND,Currency: VND_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,Balance (Amount payable),Balance (Amount payable),,
,,,Ending balance,Beginning balance,,
Trade payables to foreign suppliers,Trade payables to foreign suppliers,Trade payables to foreign suppliers,"40,942,486,405","7,262,572,370",,
- Desmet Ballestra Singapore,- Desmet Ballestra Singapore,- Desmet Ballestra Singapore,"30,603,338,366",-,,
- Others,- Others,- Others,"10,339,148,039","7,262,572,370",,
Trade payables to domestic suppliers,Trade payables to domestic suppliers,Trade payables to domestic suppliers,"706,998,390,071","778,910,096,896",,
- Asia Goldman Investment Joint Stock Company,- Asia Goldman Investment Joint Stock Company,- Asia Goldman Investment Joint Stock Company,"35,414,750,250","60,930,964,020",,
- Others,- Others,- Others,"671,583,639,821","717,979,132,876",,
Trade payables to related parties (Note 31),Trade payables to related parties (Note 31),Trade payables to related parties (Note 31),"14,706,614,462","9,428,151,504",,
TOTAL,TOTAL,TOTAL,"762,647,490,938","795,600,820,770",,
