row_label_raw,row_label_full,Bank loans,Ending balance (VND),Principal and interest repayment term,Interest rate,numeric__Ending balance (VND),numeric__Principal and interest repayment term,numeric__Interest rate
Bank loans in VND,Bank loans in VND,Bank loans in VND,"4,558,135,833,945",The term for each draw-down is a maximum of 1 year.Interest is payable monthly.,3.5% - 6.5%,,,
TOTAL,TOTAL,TOTAL,"4,558,135,833,945",,,,,
