row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm (VND) > 825.272.839.564,Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả trong giai đoạn từ tháng 7 năm 2025 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"Lãi suất năm > 7,8% - 10,0%",numeric__Số cuối năm (VND) > 825.272.839.564,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả trong giai đoạn từ tháng 7 năm 2025 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 7,8% - 10,0%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,825.272.839.564,,,825272839564.0,,
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,
Vay dài hạn đến hạn trả,Trong đó > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,254.173.162.518,,,254173162518.0,,
Vay dài hạn,Trong đó > Vay dài hạn,Vay dài hạn,571.099.677.046,,,571099677046.0,,
