row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,193.570.468.645,-,166.858.078.635,-,193570468645.0,,166858078635.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",1.079.443.315.115,-,876.361.616.698,-,1079443315115.0,,876361616698.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",15.588.919.621,-,21.532.153.214,-,15588919621.0,,21532153214.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,3.875.381.912.493,-,4.088.024.806.968,(5.566.521.832),3875381912493.0,,4088024806968.0,-5566521832.0
- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bất động sản,- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bất động sản,- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bất động sản,846.436.018.733,-,1.080.381.069.681,-,846436018733.0,,1080381069681.0,
- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,3.028.945.893.760,-,3.007.643.737.287,(5.566.521.832),3028945893760.0,,3007643737287.0,-5566521832.0
Thành phẩm,Thành phẩm,Thành phẩm,265.097.471.866,-,272.178.494.495,-,265097471866.0,,272178494495.0,
Hàng hóa,Hàng hóa,Hàng hóa,87.699.670.260,-,75.042.850.745,-,87699670260.0,,75042850745.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.516.781.758.000,-,5.499.998.000.755,(5.566.521.832),5516781758000.0,,5499998000755.0,-5566521832.0
