row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Trang thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Trang thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.299.498.430.515,2.752.071.092.351,349.916.205.834,51.745.284.302,7.453.231.013.002,4299498430515.0,2752071092351.0,349916205834.0,51745284302.0,7453231013002.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,38.290.979.318,36.838.545.344,303.876.000,75.433.400.662,,38290979318.0,36838545344.0,303876000.0,75433400662.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,145.641.887.706,47.152.219.183,-,-,192.794.106.889,145641887706.0,47152219183.0,,,192794106889.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),Nguyên giá: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),-,117.306.804.549,1.463.318.182,-,118.770.122.731,,117306804549.0,1463318182.0,,118770122731.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.775.628.874),(8.938.292.182),(3.839.506.091),(638.993.573),(15.192.420.720),-1775628874.0,-8938292182.0,-3839506091.0,-638993573.0,-15192420720.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(5.725.303.068),(3.461.869.370),-,-,(9.187.172.438),-5725303068.0,-3461869370.0,,,-9187172438.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.437.639.386.279,2.942.420.933.849,384.378.563.269,51.410.166.729,7.815.849.050.126,4437639386279.0,2942420933849.0,384378563269.0,51410166729.0,7815849050126.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,124.274.117.221,386.221.831.778,84.690.002.499,12.162.614.142,607.348.565.640,124274117221.0,386221831778.0,84690002499.0,12162614142.0,607348565640.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.365.314.565.161,1.310.352.769.934,214.337.716.989,29.455.102.989,2.919.460.155.073,1365314565161.0,1310352769934.0,214337716989.0,29455102989.0,2919460155073.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,253.813.755.977,246.703.521.563,35.423.331.610,6.149.368.143,542.089.977.293,253813755977.0,246703521563.0,35423331610.0,6149368143.0,542089977293.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),Giá trị khấu hao lũy kế: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 11),-,52.899.268.421,627.136.370,-,53.526.404.791,,52899268421.0,627136370.0,,53526404791.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.775.628.874),(8.938.292.182),(3.766.751.672),(638.993.573),(15.119.666.301),-1775628874.0,-8938292182.0,-3766751672.0,-638993573.0,-15119666301.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(2.328.989.657),-,-,-,(2.328.989.657),-2328989657.0,,,,-2328989657.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.615.023.702.607,1.601.017.267.736,246.621.433.297,34.965.477.559,3.497.627.881.199,1615023702607.0,1601017267736.0,246621433297.0,34965477559.0,3497627881199.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.934.183.865.354,1.441.718.322.417,135.578.488.845,22.290.181.313,4.533.770.857.929,2934183865354.0,1441718322417.0,135578488845.0,22290181313.0,4533770857929.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.822.615.683.672,1.341.403.666.113,137.757.129.972,16.444.689.170,4.318.221.168.927,2822615683672.0,1341403666113.0,137757129972.0,16444689170.0,4318221168927.0
Trong đó:Tài sản sử dụng để thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (*),Trong đó:Tài sản sử dụng để thế chấp (*),506.124.083.819,479.161.763.929,7.581.028.669,-,992.866.876.417,506124083819.0,479161763929.0,7581028669.0,,992866876417.0
