row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"854,248,546,204","97,749,211,352",,
Corporate income tax according to tax rate of each activities,Corporate income tax according to tax rate of each activities,Corporate income tax according to tax rate of each activities,"118,055,069,327","36,355,491,666",,
In which:,In which:,In which:,In which:,In which:,,
Tax rate of 15% for animal feed production activities,Tax rate of 15% for animal feed production activities,Tax rate of 15% for animal feed production activities,"68,982,905,446","27,836,202,791",,
Tax rate of 20% for other activities,Tax rate of 20% for other activities,Tax rate of 20% for other activities,"5,075,919,967","38,996,422,622",,
Tax incentive for livestock activities,Tax incentive for livestock activities,Tax incentive for livestock activities,"43,996,243,914","(30,477,133,747)",,
Depreciation expenses in excess of the deductible limit,Depreciation expenses in excess of the deductible limit,Depreciation expenses in excess of the deductible limit,"714,577,562","597,391,130",,
Non-deductible interest expenses,Non-deductible interest expenses,Non-deductible interest expenses,"295,956,359","4,479,149,590",,
Non-deductible interest expenses in previous years deducted in current year,Non-deductible interest expenses in previous years deducted in current year,Non-deductible interest expenses in previous years deducted in current year,"(4,779,841,545)","(1,390,795,363)",,
Tax exempted,Tax exempted,Tax exempted,"(38,534,933,931)","(1,350,499,273)",,
Tax losses carried forward from previous years,Tax losses carried forward from previous years,Tax losses carried forward from previous years,"(15,357,859,061)","(802,226,738)",,
Unrecognized deferred tax related to taxable losses,Unrecognized deferred tax related to taxable losses,Unrecognized deferred tax related to taxable losses,"23,700,474,670","35,003,363,405",,
Other increase/(decrease),Other increase/(decrease),Other increase/(decrease),"1,071,350,368","(149,857,280)",,
CIT expenses,CIT expenses,CIT expenses,"85,164,793,749","72,742,017,137",,
