row_label_raw,row_label_full,Bank loans,Ending balance (VND),Principal and interest repayment term,Interest rate,numeric__Ending balance (VND),numeric__Principal and interest repayment term,numeric__Interest rate
Bank loans in VND,Bank loans in VND,Bank loans in VND,"825,272,839,564",The term is from 3 to 6 years. The principal loan amount is repayable from July 2025 to January 2029. Interest is payable monthly.,7.8% - 10.0%,,,
TOTAL,TOTAL,TOTAL,"825,272,839,564",,,,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
Current portion,Current portion,Current portion,"254,173,162,518",,,,,
Non-current portion,Non-current portion,Non-current portion,"571,099,677,046",,,,,
