row_label_raw,row_label_full,Individuals,Position,Remuneration,Remuneration_1,numeric__Position,numeric__Remuneration,numeric__Remuneration_1
Individuals,Individuals,Individuals,Position,Current year,Previous year,,,
Mr Nguyen Nhu So,Mr Nguyen Nhu So,Mr Nguyen Nhu So,Chairman of the Board of Director,"2,729,701,000","1,933,309,000",,,
Mr Nguyen Khac Thao,Mr Nguyen Khac Thao,Mr Nguyen Khac Thao,Deputy Chairman the Board of Director cum General Director,"1,784,700,000","1,330,309,000",,,
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Member of the Board of Director cum Deputy General Director,"1,329,700,000","848,309,000",,,
Mr Nguyen The Tuong,Mr Nguyen The Tuong,Mr Nguyen The Tuong,Member of the Board of Director cum Deputy General Director,"1,329,700,000","848,309,000",,,
Mr Hoang Van Chung,Mr Hoang Van Chung,Mr Hoang Van Chung,Deputy General Director,"1,100,000,000","1,052,129,000",,,
Mr Nguyen Hoang Nguyen,Mr Nguyen Hoang Nguyen,Mr Nguyen Hoang Nguyen,Member of the Board of Director,"945,000,000","521,704,000",,,
Mr Le Quoc Doan,Mr Le Quoc Doan,Mr Le Quoc Doan,Member of the Board of Director,"963,849,000","542,216,481",,,
Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Member of the Board of Director,"320,000,000","240,000,000",,,
Mr Hoang Nguyen Hoc,Mr Hoang Nguyen Hoc,Mr Hoang Nguyen Hoc,Member of the Board of Director,"320,000,000","240,000,000",,,
Mr Bui Van Hoan,Mr Bui Van Hoan,Mr Bui Van Hoan,Member of the Board of Director,"320,000,000","241,000,000",,,
Mr Pham Van Hoc,Mr Pham Van Hoc,Mr Pham Van Hoc,Deputy General Director,"909,700,000","848,309,000",,,
Mr Nguyen Van Tue,Mr Nguyen Van Tue,Mr Nguyen Van Tue,Deputy General Director,"909,700,000","848,309,000",,,
Mr Le Minh Tuan,Mr Le Minh Tuan,Mr Le Minh Tuan,Deputy General Director,"909,700,000","848,309,000",,,
Mr Do Viet Quan,Mr Do Viet Quan,Mr Do Viet Quan,Deputy General Director,"909,700,000","848,309,000",,,
Ms Le Thi Minh Thu,Ms Le Thi Minh Thu,Ms Le Thi Minh Thu,Deputy General Director,"909,700,000","650,219,000",,,
Ms Bui Hai Huyen,Ms Bui Hai Huyen,Ms Bui Hai Huyen,Deputy General Director (resigned on 1 February 2024),"85,000,000","425,045,000",,,
TOTAL,TOTAL,TOTAL,,"15,776,150,000","12,265,785,481",,,
