row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Accrued cost of real estate construction and development,Accrued cost of real estate construction and development,Accrued cost of real estate construction and development,"47,597,490,435","67,772,011,177",,
Interest expenses,Interest expenses,Interest expenses,"3,406,688,484","3,362,609,829",,
Fees for opening letters of credit,Fees for opening letters of credit,Fees for opening letters of credit,-,"27,105,107,426",,
Others,Others,Others,"2,123,203,917","6,119,196,047",,
TOTAL,TOTAL,TOTAL,"53,127,382,836","104,358,924,479",,
