row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Gross revenue,Gross revenue,Gross revenue,"13,739,362,734,289","11,241,164,150,311",,
In which:,In which:,In which:,In which:,In which:,,
Sale of finished goods,Sale of finished goods,Sale of finished goods,"12,812,491,093,790","9,873,386,213,843",,
Sale of merchandise,Sale of merchandise,Sale of merchandise,"643,731,246,437","598,492,951,047",,
Sale of real estates and construction services,Sale of real estates and construction services,Sale of real estates and construction services,"283,140,394,062","769,284,985,421",,
Deductions,Deductions,Deductions,"(165,839,502,391)","(131,163,393,499)",,
Trade discounts,Trade discounts,Trade discounts,"(162,563,905,825)","(128,434,967,073)",,
Sales allowances,Sales allowances,Sales allowances,"(278,803,021)",-,,
Sales return,Sales return,Sales return,"(2,996,793,545)","(2,728,426,426)",,
Net revenue,Net revenue,Net revenue,"13,573,523,231,898","11,110,000,756,812",,
In which:,In which:,In which:,In which:,In which:,,
Sale of finished goods,Sale of finished goods,Sale of finished goods,"12,646,651,591,399","9,742,222,820,344",,
Sale of merchandise,Sale of merchandise,Sale of merchandise,"643,731,246,437","598,492,951,047",,
Sale of real estates and construction services,Sale of real estates and construction services,Sale of real estates and construction services,"283,140,394,062","769,284,985,421",,
