row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Giá trị (VND) > Tên đơn vị,Số cuối năm > Tỷ lệ vốn nắm giữ > Tên đơn vị,Số cuối năm > Tỷ lệ quyền biểu quyết > Tên đơn vị,Số đầu năm > Giá trị (VND) > Tên đơn vị,Số đầu năm > Tỷ lệ vốn nắm giữ > Tên đơn vị,Số đầu năm > Tỷ lệ quyền biểu quyết > Tên đơn vị,numeric__Tên đơn vị_1,numeric__Số cuối năm > Giá trị (VND) > Tên đơn vị,numeric__Số cuối năm > Tỷ lệ vốn nắm giữ > Tên đơn vị,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết > Tên đơn vị,numeric__Số đầu năm > Giá trị (VND) > Tên đơn vị,numeric__Số đầu năm > Tỷ lệ vốn nắm giữ > Tên đơn vị,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết > Tên đơn vị
Công ty Cổ phần Chế biển thực phẩm Dabaco,Công ty Cổ phần Chế biển thực phẩm Dabaco,Công ty Cổ phần Chế biển thực phẩm Dabaco,(i),74.375.314.668,"49,56%","49,56%",80.343.996.473,"49,56%","49,56%",,74375314668.0,0.49560000000000004,0.49560000000000004,80343996473.0,0.49560000000000004,0.49560000000000004
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(ii),31.755.102.961,"33,33%","33,33%",29.216.798.156,"33,33%","33,33%",,31755102961.0,0.3333,0.3333,29216798156.0,0.3333,0.3333
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,106.130.417.629,,,109.560.794.629,,,,106130417629.0,,,109560794629.0,,
