row_label_raw,row_label_full,col_0,Current year,Currency: VNDPrevious year(Restated),numeric__Current year,numeric__Currency: VNDPrevious year(Restated)
Net profit after tax attributable to ordinary shareholders,Net profit after tax attributable to ordinary shareholders,Net profit after tax attributable to ordinary shareholders,"769,083,752,455","25,007,194,215",,
Distribution to bonus and welfare fund,Distribution to bonus and welfare fund,Distribution to bonus and welfare fund,-,-,,
Net profit attributable to ordinary shareholders adjusted for the effect of dilution,Net profit attributable to ordinary shareholders adjusted for the effect of dilution,Net profit attributable to ordinary shareholders adjusted for the effect of dilution,"769,083,752,455","25,007,194,215",,
Weighted average number of ordinary shares (excluding treasury shares) for basic earnings per share (*),Weighted average number of ordinary shares (excluding treasury shares) for basic earnings per share (*),Weighted average number of ordinary shares (excluding treasury shares) for basic earnings per share (*),"292,846,139","276,241,930",,
Weighted average number of ordinary shares (excluding treasury shares) adjusted for the effect of dilution,Weighted average number of ordinary shares (excluding treasury shares) adjusted for the effect of dilution,Weighted average number of ordinary shares (excluding treasury shares) adjusted for the effect of dilution,"292,846,139","276,241,930",,
Basic earnings per share,Weighted average number of ordinary shares (excluding treasury shares) adjusted for the effect of dilution > Basic earnings per share,Basic earnings per share,"2,626",91,2.626,91.0
Diluted earnings per share,Weighted average number of ordinary shares (excluding treasury shares) adjusted for the effect of dilution > Diluted earnings per share,Diluted earnings per share,"2,626",91,2.626,91.0
