row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.301.218.577,179.743.274.298,(181.217.322.698),4.827.170.177,6301218577.0,179743274298.0,-181217322698.0,4827170177.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,25.862.825.865,107.594.297.295,(38.403.843.047),95.053.280.113,25862825865.0,107594297295.0,-38403843047.0,95053280113.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,32.777.585.298,(32.777.585.298),-,,32777585298.0,-32777585298.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,302.036.802,17.074.279.657,(17.005.858.701),370.457.758,302036802.0,17074279657.0,-17005858701.0,370457758.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,32.466.081.244,337.189.436.548,(269.404.609.744),100.250.908.048,32466081244.0,337189436548.0,-269404609744.0,100250908048.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cắn trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,44.682.806.829,93.411.851.380,(91.119.531.887),46.975.126.322,44682806829.0,93411851380.0,-91119531887.0,46975126322.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,4.567.794.967,213.700.994,(567.777.713),4.213.718.248,4567794967.0,213700994.0,-567777713.0,4213718248.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,49.250.601.796,93.625.552.374,(91.687.309.600),51.188.844.570,49250601796.0,93625552374.0,-91687309600.0,51188844570.0
