row_label_raw,row_label_full,col_0,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
,,,Cost,Provision,Cost,Provision,,,,
Goods in transit,Goods in transit,Goods in transit,"193,570,468,645",-,"166,858,078,635",-,,,,
Raw materials,Raw materials,Raw materials,"1,079,443,315,115",-,"876,361,616,698",-,,,,
Tools and supplies,Tools and supplies,Tools and supplies,"15,588,919,621",-,"21,532,153,214",-,,,,
Work in process,Work in process,Work in process,"3,875,381,912,493",-,"4,088,024,806,968","(5,566,521,832)",,,,
- Real estate business activities,- Real estate business activities,- Real estate business activities,"846,436,018,733",-,"1,080,381,069,681",-,,,,
- Other business activities,- Other business activities,- Other business activities,"3,028,945,893,760",-,"3,007,643,737,287","(5,566,521,832)",,,,
Finished goods,Finished goods,Finished goods,"265,097,471,866",-,"272,178,494,495",-,,,,
Merchandise,Merchandise,Merchandise,"87,699,670,260",-,"75,042,850,745",-,,,,
TOTAL,TOTAL,TOTAL,"5,516,781,758,000",-,"5,499,998,000,755","(5,566,521,832)",,,,
