row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Advance to employees,Advance to employees,Advance to employees,"31,807,716,353","26,505,403,724",,
Deposits to open letters of credit at bank,Deposits to open letters of credit at bank,Deposits to open letters of credit at bank,"13,265,915,000","18,068,564,599",,
Interest receivables,Interest receivables,Interest receivables,"16,870,597,589","11,969,071,835",,
Receivables from key management member on the transfer of shares in an associate (Note 31),Receivables from key management member on the transfer of shares in an associate (Note 31),Receivables from key management member on the transfer of shares in an associate (Note 31),"1,000,000,000","1,000,000,000",,
Others,Others,Others,"37,028,687,274","3,856,449,471",,
TOTAL,TOTAL,TOTAL,"99,972,916,216","61,399,489,629",,
