row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24.1,13.739.362.734.289,11.241.164.150.311,,241.0,13739362734289.0,11241164150311.0
02,02,02,2. Các khoản giảm trừ doanh thu,24.1,(165.839.502.391),(131.163.393.499),,241.0,-165839502391.0,-131163393499.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,13.573.523.231.898,11.110.000.756.812,,241.0,13573523231898.0,11110000756812.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,25,(11.640.078.007.663),(9.995.759.533.961),,25.0,-11640078007663.0,-9995759533961.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.933.445.224.235,1.114.241.222.851,,,1933445224235.0,1114241222851.0
21,21,21,6. Doanh thu hoạt động tài chính,24.2,39.213.381.756,35.776.736.369,,242.0,39213381756.0,35776736369.0
22,22,22,7. Chi phí tài chính,26,(274.645.107.584),(280.735.411.591),,26.0,-274645107584.0,-280735411591.0
23,23,23,Trong đó: Chi phí lãi vay,,(263.668.549.326),(261.799.262.786),,,-263668549326.0,-261799262786.0
24,24,24,8. Phần lỗ trong công ty liên kết,15,(1.430.377.000),(2.765.450.666),,15.0,-1430377000.0,-2765450666.0
25,25,25,9. Chi phí bán hàng,27,(469.098.857.795),(432.440.161.015),,27.0,-469098857795.0,-432440161015.0
26,26,26,10. Chi phí quản lý doanh nghiệp,27,(391.719.812.986),(356.355.906.770),,27.0,-391719812986.0,-356355906770.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,835.764.450.626,77.721.029.178,,,835764450626.0,77721029178.0
31,31,31,12. Thu nhập khác,28,21.626.693.797,21.669.113.433,,28.0,21626693797.0,21669113433.0
32,32,32,13. Chi phí khác,,(3.142.598.219),(1.640.931.259),,,-3142598219.0,-1640931259.0
40,40,40,14. Lợi nhuận khác,,18.484.095.578,20.028.182.174,,,18484095578.0,20028182174.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,854.248.546.204,97.749.211.352,,,854248546204.0,97749211352.0
51,51,51,16. Chi phí thuế TNDN hiện hành,30.1,(107.594.297.295),(72.742.017.137),,301.0,-107594297295.0,-72742017137.0
52,52,52,17. Thu nhập thuế TNDN hoãn lại,30.3,22.429.503.546,-,,303.0,22429503546.0,
60,60,60,18. Lợi nhuận sau thuế TNDN,,769.083.752.455,25.007.194.215,,,769083752455.0,25007194215.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,769.083.752.455,25.007.194.215,,,769083752455.0,25007194215.0
70,70,70,20. Lãi cơ bản trên cổ phiếu,32,2.626,91,,32.0,2626.0,91.0
71,71,71,21. Lãi suy giảm trên cổ phiếu,32,2.626,91,,32.0,2626.0,91.0
